|BUKRS|GJAHR|BELNR     |BUZEI|SHKZG|        DMBTR|        WRBTR|HKONT     |SGTXT                                             |AUGDT   |AUGCP   |AUGBL     |LIFNR     |
|1700 |2024 |0102000000|001  |H    |    8.834,82 |    9.752,00 |0041300000|SERVICIO RHM DICIEMBRE 23                         |20240129|20240129|0110027017|80A394    |
|1700 |2024 |0102000000|002  |S    |    8.834,82 |    9.752,00 |0041309999|SERVICIO RHM DICIEMBRE 23                         |20240105|20240105|0110009383|          |
|1700 |2024 |0102000000|003  |H    |    1.855,31 |    2.047,92 |0047700000|RHM 127 - Reservas Hoteleras Mexico SA de CV      |00000000|00000000|          |          |
|1700 |2024 |0102000000|004  |S    |    1.855,31 |    2.047,92 |0047200000|RHM 127 - Reservas Hoteleras Mexico SA de CV      |00000000|00000000|          |          |
|1700 |2024 |0102000001|001  |H    |       43,56 |       43,56 |0041300000|SERVICIOS ASESORAMIENTO LABORAL DICIEMBRE 2023    |20240131|20240214|0110054615|80A222    |
|1700 |2024 |0102000001|002  |S    |       36,00 |       36,00 |0041309999|SERVICIOS ASESORAMIENTO LABORAL DICIEMBR          |20240108|20240108|0110009401|          |
|1700 |2024 |0102000001|003  |S    |        7,56 |        7,56 |0047200000|4300-24000002 - CITADEL S.L.                      |00000000|00000000|          |          |
|1700 |2024 |0102000002|001  |H    |       36,30 |       36,30 |0041000000|PLAN DE FORMACION BONIFICADA 2023 - DERIVALYA     |20240129|20240129|0103000006|0000531203|
|1700 |2024 |0102000002|002  |S    |       30,00 |       30,00 |0041099999|PLAN DE FORMACION BONIFICADA 2023 - DERIVALYA     |20240108|20240108|0110009402|          |
|1700 |2024 |0102000002|003  |S    |        6,30 |        6,30 |0047200000|3763-2023 - DERIVALYA FORMACION, DESARROLLO       |00000000|00000000|          |          |
|1700 |2024 |0102000003|001  |H    |        3,63 |        3,63 |0041000000|PLAN DE FORMACION BONIFICADA 2023 - DERIVALYA     |20240129|20240129|0103000006|0000531203|
|1700 |2024 |0102000003|002  |S    |        3,00 |        3,00 |0041099999|PLAN DE FORMACION BONIFICADA 2023 - DERIVALYA     |20240108|20240108|0110009402|          |
|1700 |2024 |0102000003|003  |S    |        0,63 |        0,63 |0047200000|3764-2023 - DERIVALYA FORMACION, DESARROLLO       |00000000|00000000|          |          |
|1700 |2024 |0102000004|001  |H    |      487,63 |      487,63 |0041000000|PLAN DE FORMACION BONIFICADA 2023 - DERIVALYA     |20240129|20240129|0103000006|0000531203|
|1700 |2024 |0102000004|002  |S    |      403,00 |      403,00 |0041099999|PLAN DE FORMACION BONIFICADA 2023 - DERIVALYA     |20240108|20240108|0110009402|          |
|1700 |2024 |0102000004|003  |S    |       84,63 |       84,63 |0047200000|3797-2023 - DERIVALYA FORMACION, DESARROLLO       |00000000|00000000|          |          |
