Diario,Per.,Nº asto.,F. ctble. asto.,F. entr.,Libro,Cuenta,Descr. cta.,Descr. apte.,Imp. ctble.,Imp. div. Debe,Imp. div. Haber,Ref. doc.,CodCli,Divisa,Usuario contab.,Business Unit
BAN,12,112400690,01/12/2024,05/12/2024,GE,629401,Kilómetros. Autopistas. Parkings y Dieta,,-241.6,0,241.6,NG DMB BU's 20240617,,EUR,silviamunoz,01
BAN,12,112400690,01/12/2024,05/12/2024,GE,629405,Comidas. Gastos Locomoción,,-340.88,0,340.88,NG DMB BU's 20240617,,EUR,silviamunoz,01
BAN,12,112400690,01/12/2024,05/12/2024,GE,572081,Caixa (EKONPS),,582.48,582.48,0,NG DMB BU's 20240617,,EUR,silviamunoz,01
BAN,12,112400691,02/12/2024,10/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,,-6861.79,0,6861.79,ARVAL SERVICE - Pago fra.,3038,EUR,aelmouka,01
BAN,12,112400691,02/12/2024,10/12/2024,GE,407000,Anticipos a proveedores,,6861.79,6861.79,0,ARVAL SERVICE - Pago fra.,3038,EUR,aelmouka,01
BAN,12,112400692,02/12/2024,10/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Préstamo CEGID SMB,500000,500000,0,Préstamo CEGID SMB,5025,EUR,aelmouka,01
BAN,12,112400692,02/12/2024,10/12/2024,GE,163312,Deudas L/P Ekon,Préstamo CEGID SMB,-500000,0,500000,Préstamo CEGID SMB,5025,EUR,aelmouka,01
BAN,12,112400693,03/12/2024,10/12/2024,GE,640007,Seguros Médicos Personal,Axa- Seguros,233.75,233.75,0,Axa- Seguros personal,4381,EUR,aelmouka,01
BAN,12,112400693,03/12/2024,10/12/2024,GE,649014,SRF Seguros Salud,Axa- Seguros,374,374,0,Axa- Seguros personal,4381,EUR,aelmouka,01
BAN,12,112400693,03/12/2024,10/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Axa- Seguros,-607.75,0,607.75,Axa- Seguros personal,,EUR,aelmouka,01
BAN,12,112400694,05/12/2024,10/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,Visa empleados - JM Raventos,-1336.63,0,1336.63,Visa empleados - JM Raventos,4300,EUR,aelmouka,01
BAN,12,112400694,05/12/2024,10/12/2024,GE,460002,Anticipos Tarjetas de Crédito,Visa empleados - JM Raventos,1336.63,1336.63,0,Visa empleados - JM Raventos,,EUR,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,GE,410000,Cuenta mayor de acreedores,,-6.11,0,0,7ACFAE50-0024,,USD,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,GE,407000,Anticipos a proveedores,,237.71,250.21,0,Visa empleados Mónica- USD,,USD,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,GE,410000,Cuenta mayor de acreedores,,-6.05,0,0,7ACFAE50-0025,,USD,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,GE,668001,Diferencias negativas de cambio,,8.76,0,0,Visa empleados Mónica- USD,,USD,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,GE,668001,Diferencias negativas de cambio,,6.67,0,0,7ACFAE50-0024,2093,USD,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,GE,410000,Cuenta mayor de acreedores,,240.21,252.85,0,7ACFAE50-0024,2093,USD,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,GE,668001,Diferencias negativas de cambio,,12,0,0,7ACFAE50-0025,2093,USD,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,GE,410000,Cuenta mayor de acreedores,,237.53,250.02,0,7ACFAE50-0025,2093,USD,aelmouka,01
BAN,12,112400695,05/12/2024,10/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,,-730.72,0,753.08,Visa empleados Mónica- USD,2093,USD,aelmouka,01
BAN,12,112400696,05/12/2024,10/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,Visa empleados - Salvador,-1059.49,0,1059.49,Visa empleados - Salvador,4300,EUR,aelmouka,01
BAN,12,112400696,05/12/2024,10/12/2024,GE,460002,Anticipos Tarjetas de Crédito,Visa empleados - Salvador,1059.49,1059.49,0,Visa empleados - Salvador,,EUR,aelmouka,01
BAN,12,112400697,09/12/2024,10/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,,-1620.19,0,1620.19,COLT TECH - Pago fra.,5220,EUR,aelmouka,01
BAN,12,112400697,09/12/2024,10/12/2024,GE,410000,Cuenta mayor de acreedores,,1620.19,1620.19,0,2024381026799,5220,EUR,aelmouka,01
BAN,12,112400698,10/12/2024,10/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Masmovil Xfera - Pago fra.,-45.98,0,45.98,Masmovil Xfera - Pago fra.,1108,EUR,aelmouka,01
BAN,12,112400698,10/12/2024,10/12/2024,GE,407000,Anticipos a proveedores,Masmovil Xfera - Pago fra.,45.98,45.98,0,Masmovil Xfera - Pago fra.,1108,EUR,aelmouka,01
BAN,12,112400699,02/12/2024,27/12/2024,GE,470000,H.P. Deudora por Iva,Pago IVA 202410,-78207.99,0,78207.99,Pago IVA 202410,,EUR,silviamunoz,01
BAN,12,112400699,02/12/2024,27/12/2024,GE,163312,Deudas L/P Ekon,Pago IVA 202410,605270.19,605270.19,0,Pago IVA 202410,,EUR,silviamunoz,01
BAN,12,112400699,02/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago IVA 202410,-527062.2,0,527062.2,Pago IVA 202410,,EUR,silviamunoz,01
