Asiento,Comentario,Descripción,Cuenta,Debe,Haber
Fecha: 01/01/2024,,,,,
251182,Apertura,CAPITAL SOCIAL           ,1000000,,3.557.10 
251182,Apertura,PRIMA DE EMISION         ,1100000,,56.600.70 
251182,Apertura,RESERVA LEGAL            ,1120000,,704.52 
251182,Apertura,RESERVAS VOLUNTARIAS     ,1130000,,17.042.103.94 
251182,Apertura,Reserva de Capitalización 2015,1145015,,103.146.01 
251182,Apertura,Reserva de Capitalización 2016,1145016,,158.289.92 
251182,Apertura,Reserva de Capitalización  2017,1145017,,52.292.79 
251182,Apertura,Reserva de Capitalización 2022,1145022,,535.773.41 
251182,Apertura,PERDIDAS Y GANANCIAS     ,1290000,,3.539.000.00 
251182,Apertura,APLICACIONES INFORMATICAS,2060000,144.050.42 ,
251182,Apertura,INSTALACIONES TECNICAS   ,2120000,13.544.88 ,
251182,Apertura,OTRAS INSTALACIONES      ,2150000,734.103.48 ,
251182,Apertura,MOBILIARIO               ,2160000,389.244.30 ,
251182,Apertura,EQUIPOS PROCESOS INFORM. ,2170000,82.891.49 ,
251182,Apertura,TELEFONOS MOVILES,2170001,610.74 ,
251182,Apertura,AZ CAPITAL SPEAR INVESTMENTS I. S.L.,2405001,2.943.800.00 ,
251182,Apertura,SPEAR INVESTMENTS I B.V.,2405002,3.500.000.00 ,
251182,Apertura,INVER.FINAN.P.(ACCIONES) ,2500000,48.000.00 ,
251182,Apertura,GRANSOLAR HOLDING SL,2500003,204.111.70 ,
251182,Apertura,FIANZA OFICINA DE BARCELONA,2600001,32.480.00 ,
251182,Apertura,Fianza Fortuny. 6,2600006,66.460.00 ,
251182,Apertura,FIANZA PARKING (JOSEL),2600007,2.170.22 ,
251182,Apertura,AMORTIZ.ACUM.INMOV.INMAT.,2800000,,76.386.47 
251182,Apertura,AMORTIZ.ACUM.INMOV.MATER.,2810000,,566.619.40 
251182,Apertura,AMORTIZ.ACUM.EQUIP.INFORM,2817000,,51.576.14 
251182,Apertura,MARTINEZ FERRANDO Y ASOC.,4000003,,2.807.20 
251182,Apertura,TELEFONICA MOVILES ESPAÑA. S.A.,4000004,,3.00 
251182,Apertura,TELEFONICA DE ESPAÑA. S.A.U.,4000013,,604.42 
251182,Apertura,RICOH ESPAÑA. S.L.,4000040,,2.069.55 
251182,Apertura,SAFETY-DOC. S.L.,4000052,,64.92 
251182,Apertura,NOTARIOS MONTE ESQUINZA,4000054,,13.34 
251182,Apertura,EL TALLER DE LA LIMPIEZA. S.L.,4000072,,2.423.16 
251182,Apertura,MYTAXI IBERIA. S.L.,4000146,,633.33 
251182,Apertura,CXIOME ESPAÑA. S.A.,4000169,,2.683.89 
251182,Apertura,JOSEL S.L.U.,4000187,,3.00 
251182,Apertura,TAXI ECOLOGIC BCN,4000209,,433.14 
251182,Apertura,PRODWARE SPAIN,4000211,,9.397.32 
251182,Apertura,MULTIANAU. S.L.,4000220,,7.190.06 
251182,Apertura,DEKOM VISUAL SOLUTIONS. S.L.,4000408,,14.422.72 
251182,Apertura,CULLIGAN WATER SPAIN. S.L.,4000417,,224.94 
