Soc.,Cta.alt.,N� doc.,Ce.coste,A�o,Period,Clase doc.,Lib.mayor,D/H,Cliente,CT,BP,VP,Doc.comp.,Importe ML,Mon.,Importe,Importe,Mon.,Importe ML,Mon.,Mon.,FechaEntr,Cantidad,UMB,Nombre del usuario
0B62,120000,100000417,,2024,1,AB,110000,S,,40,,,,41.926.94,EUR,41.926.94,41.926.94,EUR,41.926.94,EUR,EUR,26/01/2024,0.000,,W128794
0B62,129000,100000417,,2024,1,AB,120000,H,,50,,,,-41.926.94,EUR,-41.926.94,41.926.94,EUR,41.926.94,EUR,EUR,26/01/2024,0.000,,W128794
0B62,300001,4000000077,,2024,4,WE,351000,S,,89,,,,118.33,EUR,118.33,118.33,EUR,118.33,EUR,EUR,05/04/2024,1,PCE,W132268
0B62,300001,4000000079,,2024,4,WE,351000,S,,89,,,,32.55,EUR,32.55,32.55,EUR,32.55,EUR,EUR,22/04/2024,7,PCE,W132268
0B62,300001,4000000118,,2024,8,WE,351000,S,,89,,,,4.65,EUR,4.65,4.65,EUR,4.65,EUR,EUR,26/08/2024,1,PCE,W132268
0B62,300001,4000000144,,2024,11,WE,351000,S,,89,,,,23.03,EUR,23.03,23.03,EUR,23.03,EUR,EUR,25/11/2024,1,PCE,W132268
0B62,300001,4000000145,,2024,11,WE,351000,S,,89,,,,9.30,EUR,9.30,9.30,EUR,9.30,EUR,EUR,25/11/2024,2,PCE,W132268
0B62,300001,4000000146,,2024,11,WE,351000,S,,89,,,,391.51,EUR,391.51,391.51,EUR,391.51,EUR,EUR,27/11/2024,17,PCE,W132268
0B62,300001,4000000146,,2024,11,WE,351000,S,,89,,,,1.774.95,EUR,1.774.95,1.774.95,EUR,1.774.95,EUR,EUR,27/11/2024,15,PCE,W132268
0B62,300001,4900000008,,2024,1,WL,351000,H,487591,99,,,,-3.055.50,EUR,-3.055.50,3.055.50,EUR,3.055.50,EUR,EUR,24/01/2024,25,PCE,EXPLOIT$U
0B62,300001,4900000011,,2024,5,WL,351000,H,1000253394,99,,,,-23.03,EUR,-23.03,23.03,EUR,23.03,EUR,EUR,13/05/2024,1,PCE,EXPLOIT$U
0B62,300001,4900000012,,2024,5,WL,351000,H,1000253394,99,,,,-118.33,EUR,-118.33,118.33,EUR,118.33,EUR,EUR,14/05/2024,1,PCE,EXPLOIT$U
0B62,300001,4900000012,,2024,5,WL,351000,H,1000253394,99,,,,-23.03,EUR,-23.03,23.03,EUR,23.03,EUR,EUR,14/05/2024,1,PCE,EXPLOIT$U
0B62,300001,4900000012,,2024,5,WL,351000,H,1000253394,99,,,,-4.65,EUR,-4.65,4.65,EUR,4.65,EUR,EUR,14/05/2024,1,PCE,EXPLOIT$U
0B62,300001,4900000014,,2024,6,WL,351000,H,1000253394,99,,,,-23.03,EUR,-23.03,23.03,EUR,23.03,EUR,EUR,06/06/2024,1,PCE,W114151
0B62,300001,4900000015,,2024,6,WL,351000,H,1000253394,99,,,,-27.90,EUR,-27.90,27.90,EUR,27.90,EUR,EUR,21/06/2024,6,PCE,W132138
0B62,300001,4900000016,,2024,9,WL,351000,H,1000253394,99,,,,-4.65,EUR,-4.65,4.65,EUR,4.65,EUR,EUR,23/09/2024,1,PCE,EXPLOIT$U
0B62,300001,4900000019,,2024,12,WL,351000,H,1000253394,99,,,,-23.03,EUR,-23.03,23.03,EUR,23.03,EUR,EUR,11/12/2024,1,PCE,EXPLOIT$U
0B62,300001,4900000019,,2024,12,WL,351000,H,1000253394,99,,,,-4.65,EUR,-4.65,4.65,EUR,4.65,EUR,EUR,11/12/2024,1,PCE,EXPLOIT$U
0B62,300001,4900000026,,2024,12,WL,351000,H,1000253394,99,,,,-23.03,EUR,-23.03,23.03,EUR,23.03,EUR,EUR,17/12/2024,1,PCE,W132138
0B62,300001,4900000026,,2024,12,WL,351000,H,1000253394,99,,,,-4.65,EUR,-4.65,4.65,EUR,4.65,EUR,EUR,17/12/2024,1,PCE,W132138
0B62,300001,4900000029,,2024,12,WL,351000,H,1001790688,99,,,,-23.03,EUR,-23.03,23.03,EUR,23.03,EUR,EUR,20/12/2024,1,PCE,W132138
0B62,400000,100000385,,2024,1,AB,408101,H,,50,,,100000385,-1.548.84,EUR,-1.548.84,1.548.84,EUR,1.548.84,EUR,EUR,16/01/2024,0.000,,W128794
0B62,400000,100000447,,2024,2,AB,408101,H,,50,,,100000447,-1.176.22,EUR,-1.176.22,1.176.22,EUR,1.176.22,EUR,EUR,09/02/2024,0.000,,W128794
0B62,400000,100000496,,2024,3,AB,408101,S,,40,,,100000496,2.236.20,EUR,2.236.20,2.236.20,EUR,2.236.20,EUR,EUR,13/03/2024,0.000,,W128794
0B62,400000,100000535,,2024,3,AB,408101,S,,40,,,100000535,151.934.40,EUR,151.934.40,151.934.40,EUR,151.934.40,EUR,EUR,27/03/2024,0.000,,W128794
0B62,400000,100000570,,2024,4,AB,408101,S,,40,,,100000570,3.324.06,EUR,3.324.06,3.324.06,EUR,3.324.06,EUR,EUR,09/04/2024,0.000,,W128794
0B62,400000,100000629,,2024,5,AB,408101,H,,50,,,100000629,-15.03,EUR,-15.03,15.03,EUR,15.03,EUR,EUR,21/05/2024,0.000,,W191062
0B62,400000,100000654,,2024,5,SA,408101,H,,50,,,100000715,-84.922.30,EUR,-84.922.30,84.922.30,EUR,84.922.30,EUR,EUR,28/05/2024,0.000,,W191062
0B62,400000,100000692,,2024,6,AB,408101,S,,40,,,100000692,3.237.52,EUR,3.237.52,3.237.52,EUR,3.237.52,EUR,EUR,19/06/2024,0.000,,W191062
0B62,400000,100000715,,2024,6,AB,408101,S,,40,,,100000715,84.922.30,EUR,84.922.30,84.922.30,EUR,84.922.30,EUR,EUR,27/06/2024,0.000,,W191062
0B62,400000,100000734,,2024,7,AB,408101,S,,40,,,100000734,99.878.00,EUR,99.878.00,99.878.00,EUR,99.878.00,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,100000750,,2024,7,AB,408101,H,,50,,,100000750,-97.812.41,EUR,-97.812.41,97.812.41,EUR,97.812.41,EUR,EUR,18/07/2024,0.000,,W191062
0B62,400000,100000764,,2024,7,SA,408101,H,,50,,,100000765,-1.700.00,EUR,-1.700.00,1.700.00,EUR,1.700.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000764,,2024,7,SA,408101,H,,50,,,100000765,-66.275.00,EUR,-66.275.00,66.275.00,EUR,66.275.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000764,,2024,7,SA,408101,H,,50,,,100000765,-106.36,EUR,-106.36,106.36,EUR,106.36,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000764,,2024,7,SA,408101,H,,50,,,100000765,-6.00,EUR,-6.00,6.00,EUR,6.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000764,,2024,7,SA,408101,H,,50,,,100000765,-29.00,EUR,-29.00,29.00,EUR,29.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000764,,2024,7,SA,408101,H,,50,,,100000765,-11.920.00,EUR,-11.920.00,11.920.00,EUR,11.920.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000764,,2024,7,SA,408101,H,,50,,,100000765,-2.802.16,EUR,-2.802.16,2.802.16,EUR,2.802.16,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000765,,2024,7,AB,408101,S,,40,,,100000765,1.700.00,EUR,1.700.00,1.700.00,EUR,1.700.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000765,,2024,7,AB,408101,S,,40,,,100000765,66.275.00,EUR,66.275.00,66.275.00,EUR,66.275.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000765,,2024,7,AB,408101,S,,40,,,100000765,106.36,EUR,106.36,106.36,EUR,106.36,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000765,,2024,7,AB,408101,S,,40,,,100000765,6.00,EUR,6.00,6.00,EUR,6.00,EUR,EUR,29/07/2024,0.000,,W191062
