num_asiento,fecha_cpu,num_documento,fecha_contable,fecha_documento,tipo_documento,num_referencia,texto_cabecera,nombre_cuenta,linea_item,indicador_dh,cuenta_mayor,area_negocio,clave_posicion,numero_cuenta,indicador_valor,importe_me,codigo_moneda,importe_debito,importe_credito,importe_neto
1,30124,100066624,10124,10124,SA,MANTENIMIENTO,G/L account document,Caixa Cta 2200079445,1,S,572016,,50,,,-30.0,EUR,0.0,30.0,-30.0
1,30124,100066624,10124,10124,SA,MANTENIMIENTO,G/L account document,Servicios bancarios,2,S,626000,,40,,5C,30.0,EUR,30.0,0.0,30.0
2,30124,100066625,10124,10124,SA,COMISION,G/L account document,Caixa Cta 2200079445,1,S,572016,,50,,,-30.0,EUR,0.0,30.0,-30.0
2,30124,100066625,10124,10124,SA,COMISION,G/L account document,Servicios bancarios,2,S,626000,,40,,5C,30.0,EUR,30.0,0.0,30.0
3,40124,100066642,10124,10124,SA,LIQ. INTERESES,G/L account document,BMG,1,S,572065,,40,,,22734.44,EUR,22734.44,0.0,22734.44
3,40124,100066642,10124,10124,SA,LIQ. INTERESES,G/L account document,Otros ingresos finan,2,S,769001,,50,,,-22734.44,EUR,0.0,22734.44,-22734.44
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,1,S,640001,,50,,,-304.97,EUR,0.0,304.97,-304.97
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,2,S,640001,,50,,,-1103.1,EUR,0.0,1103.1,-1103.1
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,3,S,640001,,50,,,-1598.23,EUR,0.0,1598.23,-1598.23
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,4,S,640001,,50,,,-989.66,EUR,0.0,989.66,-989.66
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,5,S,640001,,50,,,-2163.95,EUR,0.0,2163.95,-2163.95
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,6,S,640001,,50,,,-2108.56,EUR,0.0,2108.56,-2108.56
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,7,S,640001,,50,,,-1391.04,EUR,0.0,1391.04,-1391.04
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,8,S,640001,,50,,,-543.58,EUR,0.0,543.58,-543.58
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,9,S,640001,,50,,,-812.16,EUR,0.0,812.16,-812.16
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,10,S,640001,,50,,,-486.0,EUR,0.0,486.0,-486.0
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,11,S,640001,,50,,,-907.2,EUR,0.0,907.2,-907.2
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,12,S,640001,,50,,,-730.16,EUR,0.0,730.16,-730.16
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,13,S,640001,,50,,,-918.0,EUR,0.0,918.0,-918.0
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,14,S,640001,,50,,,-770.81,EUR,0.0,770.81,-770.81
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,15,S,640001,,50,,,-9048.41,EUR,0.0,9048.41,-9048.41
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,16,S,640001,,50,,,-5423.36,EUR,0.0,5423.36,-5423.36
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,17,S,640001,,50,,,-48600.43,EUR,0.0,48600.43,-48600.43
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,18,S,640001,,50,,,-55007.88,EUR,0.0,55007.88,-55007.88
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,19,S,640001,,50,,,-7068.6,EUR,0.0,7068.6,-7068.6
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,20,S,640001,,50,,,-14017.31,EUR,0.0,14017.31,-14017.31
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,21,S,640001,,50,,,-23437.85,EUR,0.0,23437.85,-23437.85
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,22,S,640001,,50,,,-4171.49,EUR,0.0,4171.49,-4171.49
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,23,S,640001,,50,,,-3770.01,EUR,0.0,3770.01,-3770.01
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,24,S,640001,,50,,,-1926.0,EUR,0.0,1926.0,-1926.0
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,25,S,640001,,50,,,-2932.03,EUR,0.0,2932.03,-2932.03
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,26,S,640001,,50,,,-55038.57,EUR,0.0,55038.57,-55038.57
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,27,S,640001,,50,,,-819.0,EUR,0.0,819.0,-819.0
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,28,S,640001,,50,,,-2273.05,EUR,0.0,2273.05,-2273.05
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,29,S,640001,,50,,,-508.57,EUR,0.0,508.57,-508.57
4,40124,100066645,10124,311223,AB,,ES,Provision Vacaciones,30,S,640001,,50,,,-895.02,EUR,0.0,895.02,-895.02
