BUKRS,GJAHR,BELNR,BUDAT,CPUDT,CPUTM,USNAM,BKTXT,WAERS,BSTAT,TCODE,STBLG,BLART,BLDAT,UPDDT,LOTE BSEG
ES10,2024,100008244,03/01/2024,03/01/2024,10:22:55,10346021,,EUR,A,FB1K,,AB,03/01/2024,,1
ES10,2024,100008245,03/01/2024,03/01/2024,13:27:12,10346021,,EUR,,FBR2,,SA,03/01/2024,,1
ES10,2024,100008246,03/01/2024,03/01/2024,13:28:29,10346021,,EUR,,FBR2,,SA,03/01/2024,,1
ES10,2024,100008247,03/01/2024,03/01/2024,13:37:30,10346021,,EUR,,FBR2,,SA,03/01/2024,,1
ES10,2024,1900031573,03/01/2024,03/01/2024,10:12:14,00347398,Travel expenses,EUR,,FBR2,,KR,31/07/2023,,1
ES10,2024,1900031574,03/01/2024,03/01/2024,10:21:28,00347398,Travel expenses,EUR,,FBR2,,KR,31/08/2023,,1
ES10,2024,1900031575,03/01/2024,03/01/2024,10:32:10,00347398,Travel expenses,EUR,,FBR2,,KR,31/08/2023,,1
ES10,2024,1900031576,03/01/2024,03/01/2024,10:38:11,00347398,Travel expenses,EUR,,FBR2,,KR,30/09/2023,,1
ES10,2024,1900031577,03/01/2024,03/01/2024,10:41:17,00347398,Travel expenses,EUR,,FBR2,,KR,30/09/2023,,1
ES10,2024,1900031578,03/01/2024,03/01/2024,10:45:30,00347398,Travel expenses,EUR,,FBR2,,KR,31/10/2023,,1
ES10,2024,1900031579,03/01/2024,03/01/2024,10:52:54,00347398,Travel expenses,EUR,,FBR2,,KR,31/10/2023,,1
ES10,2024,1900031580,03/01/2024,03/01/2024,10:58:10,00347398,Travel expenses,EUR,,FBR2,,KR,31/10/2023,,1
ES10,2024,1900031581,03/01/2024,03/01/2024,11:03:52,00347398,Travel expenses,EUR,,FBR2,,KR,30/11/2023,,1
ES10,2024,1900031582,03/01/2024,03/01/2024,11:09:24,00347398,Travel expenses,EUR,,FBR2,,KR,30/11/2023,,1
ES10,2024,1900031583,03/01/2024,03/01/2024,11:16:23,00347398,Travel expenses,EUR,,FBR2,,KR,30/11/2023,,1
ES10,2024,1900031584,03/01/2024,03/01/2024,12:24:32,00347398,,EUR,,FBR2,,KR,22/11/2023,,1
ES10,2024,1900031585,03/01/2024,03/01/2024,12:27:58,00347398,,EUR,,FBR2,,KR,15/12/2023,,1
ES10,2024,1900031586,03/01/2024,03/01/2024,12:30:48,00347398,,EUR,,FBR2,,KR,15/12/2023,,1
ES10,2024,1900031587,03/01/2024,03/01/2024,12:35:51,00347398,,EUR,,FBR2,,KR,15/12/2023,,1
ES10,2024,1900031588,03/01/2024,03/01/2024,12:50:52,00347398,,EUR,,FBR2,,KR,09/12/2023,,1
ES10,2024,1900031589,03/01/2024,03/01/2024,13:04:10,00347398,,EUR,,FBR2,,KR,15/12/2023,,1
ES10,2024,1900031590,03/01/2024,03/01/2024,13:08:48,00347398,,EUR,,FBR2,,KR,15/12/2023,,1
ES10,2024,1900031591,03/01/2024,03/01/2024,13:12:00,00347398,,EUR,,FBR2,,KR,15/12/2023,,1
ES10,2024,1900031592,03/01/2024,03/01/2024,13:18:13,00347398,,EUR,,FBR2,,KR,09/12/2023,,1
ES10,2024,1900031593,03/01/2024,03/01/2024,13:29:52,00347398,,EUR,,FBR2,,KR,15/12/2023,,1
ES10,2024,1900031594,03/01/2024,03/01/2024,13:36:25,00347398,,EUR,,FBR2,,KR,15/12/2023,,1
ES10,2024,1900031595,03/01/2024,03/01/2024,13:47:55,00347398,,EUR,,FBR2,,KR,31/12/2023,,1
ES10,2024,2000005482,03/01/2024,03/01/2024,10:56:12,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005483,03/01/2024,03/01/2024,10:56:13,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005484,03/01/2024,03/01/2024,10:56:13,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005485,03/01/2024,03/01/2024,10:56:13,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005486,03/01/2024,03/01/2024,10:56:13,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005487,03/01/2024,03/01/2024,10:56:13,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005488,03/01/2024,03/01/2024,10:56:13,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005489,03/01/2024,03/01/2024,10:56:13,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005490,03/01/2024,03/01/2024,10:56:14,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005491,03/01/2024,03/01/2024,10:56:14,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,2000005492,03/01/2024,03/01/2024,10:56:14,10346021,20240103-PAGO1,EUR,,F110,,ZP,03/01/2024,,1
ES10,2024,1900031596,04/01/2024,04/01/2024,9:29:03,00347398,21231214010195685,EUR,,FBR2,,KR,14/12/2023,,1
ES10,2024,1900031597,04/01/2024,04/01/2024,9:40:54,00347398,21231128010109143,EUR,,FBR2,,KR,28/11/2023,,1
ES10,2024,5100077886,04/01/2024,04/01/2024,10:41:50,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077887,04/01/2024,04/01/2024,11:11:23,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077888,04/01/2024,04/01/2024,11:33:33,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077889,04/01/2024,04/01/2024,12:01:06,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077890,04/01/2024,04/01/2024,12:11:14,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077891,04/01/2024,04/01/2024,12:21:52,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077892,04/01/2024,04/01/2024,13:00:23,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077893,04/01/2024,04/01/2024,13:09:07,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077894,04/01/2024,04/01/2024,13:09:07,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077895,04/01/2024,04/01/2024,13:09:07,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
