NumAsiento,FechaAsiento,CuentaContable,CentroCosto,Debe,Haber,ConceptoAsiento,TipoIVA,Ejercicio
101,01/02/2024,4300001,ADMIN,2100.00,0.00,Compra material oficina,21,2024
101,01/02/2024,4770001,ADMIN,441.00,0.00,IVA soportado,21,2024
101,01/02/2024,5720001,ADMIN,0.00,2541.00,Proveedor Suministros SA,0,2024
102,03/02/2024,5700001,VENTAS,0.00,1850.50,Cliente ABC Corporación,0,2024
102,03/02/2024,7000001,VENTAS,0.00,1529.34,Venta servicios consultoría,21,2024
102,03/02/2024,4770002,VENTAS,0.00,321.16,IVA repercutido,21,2024
103,05/02/2024,6400001,RRHH,950.75,0.00,Nóminas personal,0,2024
103,05/02/2024,4751001,RRHH,218.67,0.00,Retención IRPF,0,2024
103,05/02/2024,5720002,RRHH,0.00,1169.42,Banco Santander nóminas,0,2024
104,08/02/2024,2800001,IT,3200.00,0.00,Equipos informáticos,21,2024
