Numero_Asiento,Fecha_Contable,Codigo_Cuenta,Descripcion_Movimiento,Importe_Debe,Importe_Haber,Centro_Coste,Año_Fiscal,Mes,Divisa
1001,2024-02-01,100001,Efectivo en caja,1500.00,0.00,ADM001,2024,02,EUR
1001,2024-02-01,400001,Ingresos por ventas,0.00,1500.00,VEN001,2024,02,EUR
1002,2024-02-03,120001,Clientes nacionales,2750.50,0.00,VEN001,2024,02,EUR
1002,2024-02-03,410001,Servicios prestados,0.00,2750.50,VEN001,2024,02,EUR
1003,2024-02-05,200001,Proveedores,0.00,980.25,COM001,2024,02,EUR
1003,2024-02-05,110001,Banco principal,980.25,0.00,COM001,2024,02,EUR
1004,2024-02-08,300001,Gastos de personal,3200.00,0.00,RRHH01,2024,02,EUR
1004,2024-02-08,110001,Banco principal,0.00,3200.00,RRHH01,2024,02,EUR
1005,2024-02-10,150001,Mobiliario oficina,1250.75,0.00,ADM001,2024,02,EUR
1005,2024-02-10,200001,Proveedores,0.00,1250.75,ADM001,2024,02,EUR
