IdAsiento,FechaMov,Ejercicio,Periodo,CodCuenta,DescMovimiento,ImporteDebe,ImporteHaber,CodCentro,CodProyecto,TipoDoc,Usuario
A001,12/01/2024,2024,01,6000001,Alquiler local comercial,2800.00,0.00,C_ADM,P001,FC,ADMIN01
A001,12/01/2024,2024,01,4720001,IVA soportado deducible,588.00,0.00,C_ADM,P001,FC,ADMIN01
A001,12/01/2024,2024,01,4100001,Proveedor Inmobiliaria XYZ,0.00,3388.00,C_ADM,P001,FC,ADMIN01
A002,15/01/2024,2024,01,4300001,Cliente Mayorista ABC,3630.00,0.00,C_VEN,P002,FV,VENDEDOR1
A002,15/01/2024,2024,01,7010001,Venta mercaderías nacionales,0.00,3000.00,C_VEN,P002,FV,VENDEDOR1
A002,15/01/2024,2024,01,4770001,IVA repercutido general,0.00,630.00,C_VEN,P002,FV,VENDEDOR1
A003,18/01/2024,2024,01,5700001,Caja euros,1250.75,0.00,C_TES,P003,RC,TESORERO1
A003,18/01/2024,2024,01,7050001,Ingresos servicios diversos,0.00,1250.75,C_TES,P003,RC,TESORERO1
A004,20/01/2024,2024,01,6400001,Sueldos y salarios,5200.00,0.00,C_RRHH,,NOM,RRHH01
A004,20/01/2024,2024,01,5720001,Banco nóminas,0.00,5200.00,C_RRHH,,NOM,RRHH01
