TransID,TDate,Seq,AcctNum,RefCode,Value,Flag,Memo,Entity,Per,Curr,Stat,CreatedBy,RegTime,Cat
TR001,2024-01-02,1,501234,RF001,1425.80,+,Office equipment purchase,COMP1,2024-01,USD,OPEN,USER01,2024-01-02T09:15:00,PUR
TR001,2024-01-02,2,101234,RF001,1425.80,-,Office equipment purchase,COMP1,2024-01,USD,OPEN,USER01,2024-01-02T09:15:00,PUR
TR002,2024-01-02,1,601234,RF002,3200.00,+,Quarterly advertising campaign,COMP1,2024-01,USD,OPEN,USER02,2024-01-02T11:30:00,EXP
TR002,2024-01-02,2,101234,RF002,3200.00,-,Quarterly advertising campaign,COMP1,2024-01,USD,OPEN,USER02,2024-01-02T11:30:00,EXP
TR003,2024-01-03,1,101234,RF003,5400.00,+,Major client invoice payment,COMP1,2024-01,USD,OPEN,USER03,2024-01-03T08:45:00,REC
TR003,2024-01-03,2,401234,RF003,5400.00,-,Major client invoice payment,COMP1,2024-01,USD,OPEN,USER03,2024-01-03T08:45:00,REC
TR004,2024-01-03,1,502234,RF004,1950.00,+,Annual software licensing,COMP1,2024-01,USD,OPEN,USER01,2024-01-03T14:20:00,EXP
TR004,2024-01-03,2,101234,RF004,1950.00,-,Annual software licensing,COMP1,2024-01,USD,OPEN,USER01,2024-01-03T14:20:00,EXP
TR005,2024-01-04,1,602234,RF005,875.25,+,Employee travel reimbursement,COMP1,2024-01,USD,OPEN,USER04,2024-01-04T10:00:00,EXP
TR005,2024-01-04,2,101234,RF005,875.25,-,Employee travel reimbursement,COMP1,2024-01,USD,OPEN,USER04,2024-01-04T10:00:00,EXP
TR006,2024-01-04,1,301234,RF006,4200.00,+,Raw material inventory,COMP1,2024-01,USD,OPEN,USER05,2024-01-04T13:15:00,INV
TR006,2024-01-04,2,101234,RF006,4200.00,-,Raw material inventory,COMP1,2024-01,USD,OPEN,USER05,2024-01-04T13:15:00,INV
TR007,2024-01-05,1,101234,RF007,2950.00,+,Consulting service delivery,COMP1,2024-01,USD,OPEN,USER03,2024-01-05T09:30:00,SRV
TR007,2024-01-05,2,402234,RF007,2950.00,-,Consulting service delivery,COMP1,2024-01,USD,OPEN,USER03,2024-01-05T09:30:00,SRV
TR008,2024-01-05,1,603234,RF008,520.40,+,Utility bills payment,COMP1,2024-01,USD,OPEN,USER02,2024-01-05T15:45:00,EXP
TR008,2024-01-05,2,101234,RF008,520.40,-,Utility bills payment,COMP1,2024-01,USD,OPEN,USER02,2024-01-05T15:45:00,EXP
TR009,2024-01-08,1,503234,RF009,1100.00,+,Equipment maintenance contract,COMP1,2024-01,USD,OPEN,USER06,2024-01-08T08:00:00,EXP
TR009,2024-01-08,2,101234,RF009,1100.00,-,Equipment maintenance contract,COMP1,2024-01,USD,OPEN,USER06,2024-01-08T08:00:00,EXP
TR010,2024-01-08,1,101234,RF010,7300.00,+,Product line sales,COMP1,2024-01,USD,OPEN,USER03,2024-01-08T12:30:00,SAL
TR010,2024-01-08,2,401234,RF010,7300.00,-,Product line sales,COMP1,2024-01,USD,OPEN,USER03,2024-01-08T12:30:00,SAL
TR011,2024-01-09,1,302234,RF011,2800.00,+,Finished goods stock,COMP1,2024-01,USD,OPEN,USER05,2024-01-09T09:45:00,INV
TR011,2024-01-09,2,101234,RF011,2800.00,-,Finished goods stock,COMP1,2024-01,USD,OPEN,USER05,2024-01-09T09:45:00,INV
TR012,2024-01-09,1,604234,RF012,1580.00,+,Marketing materials production,COMP1,2024-01,USD,OPEN,USER02,2024-01-09T11:15:00,EXP
TR012,2024-01-09,2,101234,RF012,1580.00,-,Marketing materials production,COMP1,2024-01,USD,OPEN,USER02,2024-01-09T11:15:00,EXP
TR013,2024-01-10,1,504234,RF013,825.60,+,Legal advisory services,COMP1,2024-01,USD,OPEN,USER01,2024-01-10T14:00:00,EXP
TR013,2024-01-10,2,101234,RF013,825.60,-,Legal advisory services,COMP1,2024-01,USD,OPEN,USER01,2024-01-10T14:00:00,EXP
TR014,2024-01-10,1,101234,RF014,4750.00,+,Licensing agreement revenue,COMP1,2024-01,USD,OPEN,USER03,2024-01-10T16:20:00,LIC
TR014,2024-01-10,2,403234,RF014,4750.00,-,Licensing agreement revenue,COMP1,2024-01,USD,OPEN,USER03,2024-01-10T16:20:00,LIC
TR015,2024-01-11,1,605234,RF015,720.00,+,Office space rental,COMP1,2024-01,USD,OPEN,USER02,2024-01-11T08:30:00,EXP
TR015,2024-01-11,2,101234,RF015,720.00,-,Office space rental,COMP1,2024-01,USD,OPEN,USER02,2024-01-11T08:30:00,EXP
TR016,2024-01-11,1,303234,RF016,2100.00,+,Manufacturing components,COMP1,2024-01,USD,OPEN,USER05,2024-01-11T10:45:00,MFG
TR016,2024-01-11,2,101234,RF016,2100.00,-,Manufacturing components,COMP1,2024-01,USD,OPEN,USER05,2024-01-11T10:45:00,MFG
TR017,2024-01-12,1,505234,RF017,495.30,+,Business insurance premium,COMP1,2024-01,USD,OPEN,USER01,2024-01-12T09:00:00,EXP
TR017,2024-01-12,2,101234,RF017,495.30,-,Business insurance premium,COMP1,2024-01,USD,OPEN,USER01,2024-01-12T09:00:00,EXP
