NumDoc,Fecha,Linea,CuentaMayor,Ref,Importe,Signo,Concepto,CodEmp,Periodo,Moneda,Estado,Usuario,FechaReg,Tipo
D001,2024-01-15,1,430001,REF001,1200.50,D,Compra material oficina,EMP01,202401,EUR,A,USR001,2024-01-15 09:30:00,CO
D001,2024-01-15,2,113001,REF001,1200.50,H,Compra material oficina,EMP01,202401,EUR,A,USR001,2024-01-15 09:30:00,CO
D002,2024-01-15,1,620001,REF002,2800.00,D,Gastos marketing trimestre,EMP01,202401,EUR,A,USR002,2024-01-15 10:45:00,GA
D002,2024-01-15,2,113001,REF002,2800.00,H,Gastos marketing trimestre,EMP01,202401,EUR,A,USR002,2024-01-15 10:45:00,GA
D003,2024-01-16,1,113001,REF003,4500.00,D,Cobro cliente principal,EMP01,202401,EUR,A,USR003,2024-01-16 08:15:00,CO
D003,2024-01-16,2,700001,REF003,4500.00,H,Cobro cliente principal,EMP01,202401,EUR,A,USR003,2024-01-16 08:15:00,CO
D004,2024-01-16,1,510001,REF004,1800.00,D,Renovacion licencia software,EMP01,202401,EUR,A,USR001,2024-01-16 11:20:00,GA
D004,2024-01-16,2,113001,REF004,1800.00,H,Renovacion licencia software,EMP01,202401,EUR,A,USR001,2024-01-16 11:20:00,GA
D005,2024-01-17,1,621001,REF005,950.75,D,Viajes y desplazamientos,EMP01,202401,EUR,A,USR004,2024-01-17 14:00:00,GA
D005,2024-01-17,2,113001,REF005,950.75,H,Viajes y desplazamientos,EMP01,202401,EUR,A,USR004,2024-01-17 14:00:00,GA
D006,2024-01-17,1,350001,REF006,3500.00,D,Compra materia prima,EMP01,202401,EUR,A,USR005,2024-01-17 09:30:00,CO
D006,2024-01-17,2,113001,REF006,3500.00,H,Compra materia prima,EMP01,202401,EUR,A,USR005,2024-01-17 09:30:00,CO
D007,2024-01-18,1,113001,REF007,2800.00,D,Facturacion servicios,EMP01,202401,EUR,A,USR003,2024-01-18 10:15:00,FA
D007,2024-01-18,2,705001,REF007,2800.00,H,Facturacion servicios,EMP01,202401,EUR,A,USR003,2024-01-18 10:15:00,FA
D008,2024-01-18,1,628001,REF008,450.25,D,Suministros oficina,EMP01,202401,EUR,A,USR002,2024-01-18 15:45:00,GA
D008,2024-01-18,2,113001,REF008,450.25,H,Suministros oficina,EMP01,202401,EUR,A,USR002,2024-01-18 15:45:00,GA
D009,2024-01-19,1,520001,REF009,950.00,D,Mantenimiento equipos,EMP01,202401,EUR,A,USR006,2024-01-19 08:30:00,GA
D009,2024-01-19,2,113001,REF009,950.00,H,Mantenimiento equipos,EMP01,202401,EUR,A,USR006,2024-01-19 08:30:00,GA
D010,2024-01-19,1,113001,REF010,6200.00,D,Venta productos enero,EMP01,202401,EUR,A,USR003,2024-01-19 12:00:00,VE
D010,2024-01-19,2,700001,REF010,6200.00,H,Venta productos enero,EMP01,202401,EUR,A,USR003,2024-01-19 12:00:00,VE
D011,2024-01-20,1,360001,REF011,2100.00,D,Inventario mercaderias,EMP01,202401,EUR,A,USR005,2024-01-20 09:15:00,IN
D011,2024-01-20,2,113001,REF011,2100.00,H,Inventario mercaderias,EMP01,202401,EUR,A,USR005,2024-01-20 09:15:00,IN
D012,2024-01-20,1,629001,REF012,1350.00,D,Publicidad y promocion,EMP01,202401,EUR,A,USR002,2024-01-20 13:30:00,GA
D012,2024-01-20,2,113001,REF012,1350.00,H,Publicidad y promocion,EMP01,202401,EUR,A,USR002,2024-01-20 13:30:00,GA
D013,2024-01-21,1,525001,REF013,750.50,D,Asesoria y consultoria,EMP01,202401,EUR,A,USR001,2024-01-21 11:45:00,GA
D013,2024-01-21,2,113001,REF013,750.50,H,Asesoria y consultoria,EMP01,202401,EUR,A,USR001,2024-01-21 11:45:00,GA
D014,2024-01-21,1,113001,REF014,4100.00,D,Ingresos por licencias,EMP01,202401,EUR,A,USR003,2024-01-21 14:20:00,IN
D014,2024-01-21,2,708001,REF014,4100.00,H,Ingresos por licencias,EMP01,202401,EUR,A,USR003,2024-01-21 14:20:00,IN
D015,2024-01-22,1,630001,REF015,650.00,D,Alquiler local comercial,EMP01,202401,EUR,A,USR002,2024-01-22 08:00:00,GA
D015,2024-01-22,2,113001,REF015,650.00,H,Alquiler local comercial,EMP01,202401,EUR,A,USR002,2024-01-22 08:00:00,GA
D016,2024-01-22,1,365001,REF016,1800.00,D,Componentes fabricacion,EMP01,202401,EUR,A,USR005,2024-01-22 10:30:00,CO
D016,2024-01-22,2,113001,REF016,1800.00,H,Componentes fabricacion,EMP01,202401,EUR,A,USR005,2024-01-22 10:30:00,CO
D017,2024-01-23,1,530001,REF017,425.75,D,Prima seguro anual,EMP01,202401,EUR,A,USR001,2024-01-23 09:45:00,GA
D017,2024-01-23,2,113001,REF017,425.75,H,Prima seguro anual,EMP01,202401,EUR,A,USR001,2024-01-23 09:45:00,GA
D018,2024-01-23,1,113001,REF018,3750.00,D,Exportacion productos,EMP01,202401,EUR,A,USR003,2024-01-23 13:15:00,EX
D018,2024-01-23,2,700001,REF018,3750.00,H,Exportacion productos,EMP01,202401,EUR,A,USR003,2024-01-23 13:15:00,EX
D019,2024-01-24,1,631001,REF019,890.25,D,Servicios profesionales,EMP01,202401,EUR,A,USR002,2024-01-24 11:00:00,GA
D019,2024-01-24,2,113001,REF019,890.25,H,Servicios profesionales,EMP01,202401,EUR,A,USR002,2024-01-24 11:00:00,GA
D020,2024-01-24,1,370001,REF020,2650.00,D,Equipo informatico,EMP01,202401,EUR,A,USR006,2024-01-24 15:30:00,EQ
D020,2024-01-24,2,113001,REF020,2650.00,H,Equipo informatico,EMP01,202401,EUR,A,USR006,2024-01-24 15:30:00,EQ
D021,2024-01-25,1,532001,REF021,320.00,D,Comisiones bancarias,EMP01,202401,EUR,A,USR001,2024-01-25 09:00:00,GA
D021,2024-01-25,2,113001,REF021,320.00,H,Comisiones bancarias,EMP01,202401,EUR,A,USR001,2024-01-25 09:00:00,GA
D022,2024-01-25,1,113001,REF022,5500.00,D,Contrato mantenimiento,EMP01,202401,EUR,A,USR003,2024-01-25 12:45:00,CO
D022,2024-01-25,2,706001,REF022,5500.00,H,Contrato mantenimiento,EMP01,202401,EUR,A,USR003,2024-01-25 12:45:00,CO
D023,2024-01-26,1,632001,REF023,1100.00,D,Formacion empleados,EMP01,202401,EUR,A,USR004,2024-01-26 10:15:00,GA
D023,2024-01-26,2,113001,REF023,1100.00,H,Formacion empleados,EMP01,202401,EUR,A,USR004,2024-01-26 10:15:00,GA
