ID,Fecha,Pos,Cta,Importe1,Importe2,Importe3,Descripcion,Cod,Año,Mon,Usr
A001,15/01/2024,1,43001,1500.00,0.00,1500.00,Compra equipos,CC01,2024,EUR,ANA
A001,15/01/2024,2,11301,0.00,1500.00,1500.00,Compra equipos,CC01,2024,EUR,ANA
A002,16/01/2024,1,62001,850.75,0.00,850.75,Marketing digital,CC02,2024,EUR,LUIS
A002,16/01/2024,2,11301,0.00,850.75,850.75,Marketing digital,CC02,2024,EUR,LUIS
A003,17/01/2024,1,11301,2400.00,0.00,2400.00,Cobro facturas,CC01,2024,EUR,MARIA
A003,17/01/2024,2,70001,0.00,2400.00,2400.00,Cobro facturas,CC01,2024,EUR,MARIA
A004,18/01/2024,1,51001,920.50,0.00,920.50,Licencias software,CC03,2024,EUR,PEDRO
A004,18/01/2024,2,11301,0.00,920.50,920.50,Licencias software,CC03,2024,EUR,PEDRO
A005,19/01/2024,1,63001,1200.00,0.00,1200.00,Gastos viaje,CC02,2024,EUR,CARMEN
A005,19/01/2024,2,11301,0.00,1200.00,1200.00,Gastos viaje,CC02,2024,EUR,CARMEN
A006,20/01/2024,1,11301,3750.00,0.00,3750.00,Servicios consultor,CC01,2024,EUR,ANTONIO
A006,20/01/2024,2,70501,0.00,3750.00,3750.00,Servicios consultor,CC01,2024,EUR,ANTONIO
A007,21/01/2024,1,64001,650.00,0.00,650.00,Alquiler oficina,CC01,2024,EUR,ISABEL
A007,21/01/2024,2,11301,0.00,650.00,650.00,Alquiler oficina,CC01,2024,EUR,ISABEL
A008,22/01/2024,1,35001,1850.00,0.00,1850.00,Inventario,CC02,2024,EUR,JORGE
A008,22/01/2024,2,11301,0.00,1850.00,1850.00,Inventario,CC02,2024,EUR,JORGE
A009,23/01/2024,1,11301,4200.00,0.00,4200.00,Venta productos,CC01,2024,EUR,ROSA
A009,23/01/2024,2,70001,0.00,4200.00,4200.00,Venta productos,CC01,2024,EUR,ROSA
A010,24/01/2024,1,68001,1100.00,0.00,1100.00,Amortizacion,CC01,2024,EUR,MIGUEL
A010,24/01/2024,2,28001,0.00,1100.00,1100.00,Amortizacion,CC01,2024,EUR,MIGUEL
