TxID,FE,LN,GL,AMT,DC,TX,CC,YR,CU,ST,BY,DT,TP
TX001,20240115,1,430001,1150.00,D,Adq. equipamiento,CC01,24,E,A,U01,20240115093000,EQ
TX001,20240115,2,113001,1150.00,C,Adq. equipamiento,CC01,24,E,A,U01,20240115093000,EQ
TX002,20240116,1,620001,2400.00,D,Mkt. digital,CC02,24,E,A,U02,20240116104500,MK
TX002,20240116,2,113001,2400.00,C,Mkt. digital,CC02,24,E,A,U02,20240116104500,MK
TX003,20240117,1,113001,1800.00,D,Cobro Cli. A,CC01,24,E,A,U03,20240117081500,CB
TX003,20240117,2,700001,1800.00,C,Cobro Cli. A,CC01,24,E,A,U03,20240117081500,CB
TX004,20240118,1,510001,950.00,D,Soft. gestión,CC03,24,E,A,U01,20240118112000,SW
TX004,20240118,2,113001,950.00,C,Soft. gestión,CC03,24,E,A,U01,20240118112000,SW
TX005,20240119,1,621001,675.25,D,Viajes com.,CC02,24,E,A,U04,20240119140000,VJ
TX005,20240119,2,113001,675.25,C,Viajes com.,CC02,24,E,A,U04,20240119140000,VJ
TX006,20240120,1,350001,2850.00,D,Mat. prima,CC01,24,E,A,U05,20240120093000,MP
TX006,20240120,2,113001,2850.00,C,Mat. prima,CC01,24,E,A,U05,20240120093000,MP
TX007,20240121,1,113001,3200.00,D,Serv. téc.,CC01,24,E,A,U03,20240121101500,ST
TX007,20240121,2,705001,3200.00,C,Serv. téc.,CC01,24,E,A,U03,20240121101500,ST
TX008,20240122,1,628001,520.50,D,Sum. oficina,CC01,24,E,A,U02,20240122154500,SO
TX008,20240122,2,113001,520.50,C,Sum. oficina,CC01,24,E,A,U02,20240122154500,SO
TX009,20240123,1,520001,825.00,D,Mant. IT,CC03,24,E,A,U06,20240123083000,MT
TX009,20240123,2,113001,825.00,C,Mant. IT,CC03,24,E,A,U06,20240123083000,MT
TX010,20240124,1,113001,4500.00,D,Fact. ene.,CC01,24,E,A,U03,20240124120000,FA
TX010,20240124,2,700001,4500.00,C,Fact. ene.,CC01,24,E,A,U03,20240124120000,FA
