BELNR,BUDAT,GJAHR,MONAT,HKONT,KOSTL,PROJN,DMBTR,SHKZG,SGTXT,USNAM,WAERS
1000001,2024-01-15,2024,01,0001000000,CC001,P2024001,1500.00,S,Purchase of office supplies,JDOE,EUR
1000001,2024-01-15,2024,01,0004400000,CC001,P2024001,1500.00,H,Supplier ABC Materials,JDOE,EUR
1000002,2024-01-18,2024,01,0005000000,CC002,P2024002,2500.50,S,Bank transfer received,MSMITH,EUR
1000002,2024-01-18,2024,01,0007000000,CC002,P2024002,2500.50,H,Sales revenue January,MSMITH,EUR
1000003,2024-01-20,2024,01,0006200000,CC001,P2024001,850.75,S,Consulting services,AGARCIA,EUR
1000003,2024-01-20,2024,01,0002000000,CC001,P2024001,850.75,H,Client XYZ payment,AGARCIA,EUR
1000004,2024-01-22,2024,01,0001100000,CC003,P2024003,1200.00,S,Equipment purchase,RJONES,EUR
1000004,2024-01-22,2024,01,0004400000,CC003,P2024003,1200.00,H,Vendor DEF Tech,RJONES,EUR
1000005,2024-01-25,2024,01,0003000000,CC002,,750.25,S,Travel expenses,LBROWN,EUR
1000005,2024-01-25,2024,01,0005000000,CC002,,750.25,H,Petty cash advance,LBROWN,EUR
