|BUKRS|GJAHR|BELNR     |BUDAT   |CPUDT   |CPUTM |USNAM     |BKTXT                    |WAERS|BSTAT|TCODE              |STBLG     |BLART|BLDAT   |UPDDT   |
|1700 |2024 |0102000000|20240105|20240105|095346|PGONZALEZ |                         |USD  |     |FB01               |          |KR   |20240104|00000000|
|1700 |2024 |0102000001|20240108|20240108|113029|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240108|00000000|
|1700 |2024 |0102000002|20240108|20240108|160514|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231229|00000000|
|1700 |2024 |0102000003|20240108|20240108|160804|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231229|00000000|
|1700 |2024 |0102000004|20240108|20240108|161026|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231229|00000000|
|1700 |2024 |0102000005|20240108|20240108|161337|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231229|00000000|
|1700 |2024 |0102000006|20240110|20240110|090221|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231214|00000000|
|1700 |2024 |0102000007|20240110|20240110|090403|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231221|00000000|
|1700 |2024 |0102000008|20240116|20240116|095938|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240109|00000000|
|1700 |2024 |0102000009|20240116|20240117|090108|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240116|00000000|
|1700 |2024 |0102000010|20240117|20240117|165634|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231205|00000000|
|1700 |2024 |0102000011|20240117|20240117|165826|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231205|00000000|
|1700 |2024 |0102000012|20240119|20240119|113043|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20230908|00000000|
|1700 |2024 |0102000013|20240119|20240119|113605|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20230908|00000000|
|1700 |2024 |0102000014|20240122|20240122|164721|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20231201|00000000|
|1700 |2024 |0102000015|20240122|20240122|165036|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240101|00000000|
|1700 |2024 |0102000016|20240131|20240202|101803|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240131|00000000|
|1700 |2024 |0102000017|20240202|20240202|103005|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240131|00000000|
|1700 |2024 |0102000018|20240131|20240202|124356|ALOPEZ    |Factura                  |EUR  |     |FBVB               |          |KR   |20240131|00000000|
|1700 |2024 |0102000019|20240205|20240205|093251|PGONZALEZ |                         |USD  |     |FB01               |          |KR   |20240202|00000000|
|1700 |2024 |0102000020|20240131|20240205|111800|ALOPEZ    |Factura                  |EUR  |     |FBVB               |          |KR   |20240131|00000000|
|1700 |2024 |0102000021|20240206|20240206|093257|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240201|00000000|
|1700 |2024 |0102000022|20240206|20240206|102645|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240131|00000000|
|1700 |2024 |0102000023|20240131|20240206|112446|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240131|00000000|
|1700 |2024 |0102000024|20240208|20240208|113447|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240208|00000000|
|1700 |2024 |0102000025|20240212|20240212|155716|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240212|00000000|
|1700 |2024 |0102000026|20240131|20240214|114433|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240131|00000000|
|1700 |2024 |0102000027|20240222|20240223|095250|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240222|00000000|
|1700 |2024 |0102000028|20240229|20240301|142441|ALOPEZ    |Factura                  |EUR  |     |FBVB               |          |KR   |20240229|00000000|
|1700 |2024 |0102000029|20240229|20240304|104554|ALOPEZ    |Factura                  |EUR  |     |FBVB               |          |KR   |20240229|00000000|
|1700 |2024 |0102000030|20240304|20240304|113749|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240229|00000000|
|1700 |2024 |0102000031|20240304|20240304|114830|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240229|00000000|
|1700 |2024 |0102000032|20240304|20240304|115846|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240229|00000000|
|1700 |2024 |0102000033|20240304|20240304|120659|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240301|00000000|
|1700 |2024 |0102000034|20240305|20240305|112622|PGONZALEZ |                         |EUR  |     |FB60               |          |KR   |20240301|00000000|
|1700 |2024 |0102000035|20240229|20240305|130251|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240229|00000000|
|1700 |2024 |0102000036|20240307|20240308|093805|PGONZALEZ |Factura                  |EUR  |     |FBVB               |          |KR   |20240307|00000000|
|1700 |2024 |0102000037|20240307|20240307|151320|PGONZALEZ |                         |EUR  |     |FB60               |          |KG   |20240307|00000000|
