journal_entry_id,line_description,gl_account_number,amount,debit_amount,credit_amount
1,INGRESOS POR ARRENDAMIEN.,7520000.0,-1161.81,0.0,1161.81
1,STJ ADVISORS GROUP LIMITED,4300118.0,1405.79,1405.79,0.0
1,HDA.P.IVA REPERCUTIDO    ,4770000.0,-243.98,0.0,243.98
10,LA CAIXA 81270,5720700.0,-697.83,0.0,697.83
10,SERVICIOS BANCARIOS      ,6260000.0,697.83,697.83,0.0
100,LA CAIXA 81270,5720700.0,-2449.14,0.0,2449.14
100,APD,4000148.0,2449.14,2449.14,0.0
1000,Retencion Administrador,4751600.0,175.0,175.0,0.0
1000,HDA. P.ACREED.RETENCIONES,4751000.0,-175.0,0.0,175.0
1001,HDA.P.IVA SOPORTADO      ,4720000.0,184.78,184.78,0.0
1001,MERCADONA. S.A.,4100121.0,-1941.83,0.0,1941.83
1001,ALIMENTACIÓN,6291900.0,1757.05,1757.05,0.0
1002,GASTOS DE VIAJE          ,6291000.0,1915.6,1915.6,0.0
1002,VB GLOBAL GROUP. S.L.,4100402.0,-2100.71,0.0,2100.71
1002,HDA.P.IVA SOPORTADO      ,4720000.0,185.11,185.11,0.0
1003,VB GLOBAL GROUP. S.L.,4100402.0,-5415.74,0.0,5415.74
1003,HDA.P.IVA SOPORTADO      ,4720000.0,515.83,515.83,0.0
1003,GASTOS DE VIAJE          ,6291000.0,4899.91,4899.91,0.0
1004,MYTAXI IBERIA. S.L.,4000146.0,-832.98,0.0,832.98
1004,HDA.P.IVA SOPORTADO      ,4720000.0,79.71,79.71,0.0
1004,TRANSPORTES              ,6240000.0,753.27,753.27,0.0
1005,TAXI ECOLOGIC BCN,4000209.0,-489.07,0.0,489.07
1005,TRANSPORTES              ,6240000.0,443.32,443.32,0.0
1005,HDA.P.IVA SOPORTADO      ,4720000.0,45.75,45.75,0.0
1006,COMUNICACIONES (TELEFONO),6281000.0,83.92,83.92,0.0
1006,TFM TELEFONIA FABRICACION Y MANTENIMIENTO,4100403.0,-101.54,0.0,101.54
1006,HDA.P.IVA SOPORTADO      ,4720000.0,17.62,17.62,0.0
1007,LYRECO ESPAÑA..S.A.,4100111.0,-859.51,0.0,859.51
