journal_entry_id,line_description,gl_account_number,debit_amount,credit_amount
1,INGRESOS POR ARRENDAMIEN.,7520000.0,,1.161.81 
1,STJ ADVISORS GROUP LIMITED,4300118.0,1.405.79 ,
1,HDA.P.IVA REPERCUTIDO    ,4770000.0,,243.98 
10,LA CAIXA 81270,5720700.0,,697.83 
10,SERVICIOS BANCARIOS      ,6260000.0,697.83 ,
100,LA CAIXA 81270,5720700.0,,2.449.14 
100,APD,4000148.0,2.449.14 ,
1000,Retencion Administrador,4751600.0,175.00 ,
1000,HDA. P.ACREED.RETENCIONES,4751000.0,,175.00 
1001,HDA.P.IVA SOPORTADO      ,4720000.0,184.78 ,
1001,MERCADONA. S.A.,4100121.0,,1.941.83 
1001,ALIMENTACIÓN,6291900.0,1.757.05 ,
1002,GASTOS DE VIAJE          ,6291000.0,1.915.60 ,
1002,VB GLOBAL GROUP. S.L.,4100402.0,,2.100.71 
1002,HDA.P.IVA SOPORTADO      ,4720000.0,185.11 ,
1003,VB GLOBAL GROUP. S.L.,4100402.0,,5.415.74 
1003,HDA.P.IVA SOPORTADO      ,4720000.0,515.83 ,
1003,GASTOS DE VIAJE          ,6291000.0,4.899.91 ,
1004,MYTAXI IBERIA. S.L.,4000146.0,,832.98 
1004,HDA.P.IVA SOPORTADO      ,4720000.0,79.71 ,
1004,TRANSPORTES              ,6240000.0,753.27 ,
1005,TAXI ECOLOGIC BCN,4000209.0,,489.07 
1005,TRANSPORTES              ,6240000.0,443.32 ,
1005,HDA.P.IVA SOPORTADO      ,4720000.0,45.75 ,
1006,COMUNICACIONES (TELEFONO),6281000.0,83.92 ,
1006,TFM TELEFONIA FABRICACION Y MANTENIMIENTO,4100403.0,,101.54 
1006,HDA.P.IVA SOPORTADO      ,4720000.0,17.62 ,
1007,LYRECO ESPAÑA..S.A.,4100111.0,,859.51 
1007,MATERIAL DE OFICINA      ,6292000.0,729.07 ,
1007,HDA.P.IVA SOPORTADO      ,4720000.0,130.44 ,
1008,PRODWARE SPAIN,4000211.0,,5.265.28 
1008,HDA.P.IVA SOPORTADO      ,4720000.0,913.81 ,
1008,MANTENIMIENTO SOFTWARE,6221000.0,4.351.47 ,
1009,SERV.PROFES.INDEPENDIENT.,6230000.0,10.558.80 ,
1009,LA PERA INICIATIVAS EMPRESARIALES. S.L.,4000801.0,,12.776.15 
1009,HDA.P.IVA SOPORTADO      ,4720000.0,2.217.35 ,
101,OTROS GASTOS SOCIALES    ,6490000.0,400.00 ,
101,LA CAIXA 81270,5720700.0,,400.00 
1010,HDA.P.IVA SOPORTADO      ,4720000.0,535.18 ,
1010,EQUIPOS PROCESOS INFORM. ,2170000.0,2.548.48 ,
1010,CXIOME ESPAÑA. S.A.,4000169.0,,3.083.66 
1011,TRANSPORTES              ,6240000.0,318.04 ,
1011,CABIFY ESPAÑA. S.A.,4000217.0,,349.84 
1011,HDA.P.IVA SOPORTADO      ,4720000.0,31.80 ,
1012,HDA.P.IVA SOPORTADO      ,4720000.0,163.80 ,
1012,MANTENIMIENTO SOFTWARE,6221000.0,780.00 ,
1012,SEIDOR CONSULTING,4000537.0,,943.80 
1013,SERV.PROFES.INDEPENDIENT.,6230000.0,2.400.00 ,
1013,HDA.P.IVA SOPORTADO      ,4720000.0,504.00 ,
1013,MARTINEZ FERRANDO Y ASOC.,4000003.0,,2.904.00 
1014,HDA.P.IVA SOPORTADO      ,4720000.0,134.45 ,
1014,RICOH ESPAÑA. S.L.,4000040.0,,774.67 
1014,ARRENDAMIENTOS           ,6210000.0,640.22 ,
1015,ARRENDAMIENTOS           ,6210000.0,466.72 ,
1015,HDA.P.IVA SOPORTADO      ,4720000.0,98.01 ,
1015,RICOH ESPAÑA. S.L.,4000040.0,,564.73 
1016,TELEFONICA MOVILES ESPAÑA. S.A.,4000004.0,,580.43 
1016,COMUNICACIONES (TELEFONO),6281000.0,479.69 ,
1016,HDA.P.IVA SOPORTADO      ,4720000.0,100.74 ,
1017,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,,524.05 
1017,HDA.P.IVA SOPORTADO      ,4720000.0,90.95 ,
1017,COMUNICACIONES (TELEFONO),6281000.0,433.10 ,
1018,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,,111.93 
1018,HDA.P.IVA SOPORTADO      ,4720000.0,19.43 ,
1018,COMUNICACIONES (TELEFONO),6281000.0,92.50 ,
1019,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,,3.263.55 
1019,HDA.P.IVA SOPORTADO      ,4720000.0,566.40 ,
