journal_entry_id,gl_account_number,debit_credit_indicator
30000005,657000,S
30000005,401450,H
30000006,656000,S
30000006,401450,H
30000007,401450,H
30000007,656000,S
30000008,656000,S
30000008,401450,H
30000009,656000,S
30000009,401450,H
30000010,657000,S
30000010,401450,H
30000011,401450,H
30000011,656000,S
30000012,401450,H
30000012,656000,S
30000013,401450,H
30000013,657000,S
30000014,401450,H
30000014,656000,S
30000015,656000,S
30000015,401450,H
30000016,401450,H
30000016,657000,S
30000017,657000,S
30000017,401450,H
30000018,656000,S
30000018,401450,H
30000019,401450,H
30000019,656000,S
30000020,657000,S
30000020,401450,H
30000021,401450,H
30000021,656000,S
30000022,401450,H
30000022,656000,S
30000023,401450,H
30000023,657000,S
30000024,401450,H
30000024,656000,S
30000025,401450,H
30000025,656000,S
30000026,401450,H
30000026,656000,S
30000027,401450,H
30000027,656000,S
30000028,657000,S
30000028,401450,H
30000029,401450,H
30000029,616400,S
30000030,657000,S
30000030,401450,H
30000031,401450,H
30000031,656000,S
30000032,656000,S
30000032,401450,H
30000033,671800,S
30000033,401450,H
30000034,401450,S
30000034,656000,H
100000384,51120914,H
100000384,51120914,S
100000385,706542,S
100000385,408101,H
100000389,51120914,H
100000389,51120914,S
100000396,423000,H
100000396,626130,S
100000396,626130,S
100000400,641100,H
100000400,401100,S
100000402,401100,S
100000402,641100,H
100000403,641100,H
100000403,401100,S
100000404,401100,S
100000404,641100,H
100000405,641100,H
100000405,401100,S
100000406,401100,S
100000406,641100,H
100000407,641100,H
100000407,401100,S
100000410,641311,S
100000410,421000,H
100000411,421000,H
100000411,641311,S
100000412,641311,S
100000412,421000,H
100000412,641311,S
100000413,641311,S
100000413,641311,S
100000413,421000,H
100000414,641321,S
100000414,641321,S
100000414,421000,H
100000414,641321,S
100000415,641321,S
100000415,641321,S
100000415,641321,S
100000415,421000,H
100000416,645160,S
100000416,645160,S
100000416,645160,S
100000416,645160,S
100000416,645160,S
100000416,645160,S
100000416,645160,S
100000416,431000,H
100000416,447300,H
100000416,641100,S
100000416,645160,S
100000416,431000,H
100000416,645218,S
100000416,645218,S
100000416,645218,S
100000416,431000,H
100000416,431000,H
100000416,641100,S
100000416,645218,S
100000416,421000,H
100000416,641100,S
100000416,641100,S
100000417,120000,H
100000417,110000,S
100000418,408122,S
100000418,706542,H
100000419,706542,H
100000419,408122,S
100000420,418100,S
100000420,408122,H
100000421,658000,S
100000421,408122,H
100000427,411100,S
100000427,411100,H
100000430,613200,S
100000430,613200,H
100000430,613200,H
100000430,613200,S
100000431,445310,H
100000431,445310,S
100000431,445620,H
100000431,445602,H
100000431,445310,S
100000446,51120914,H
100000446,51120914,S
100000447,706542,S
100000447,408101,H
100000458,658000,S
100000458,658000,S
100000458,604300,H
100000458,604300,H
100000459,626130,S
100000459,423000,H
100000460,625300,S
100000460,625300,S
100000460,625300,S
100000460,625300,S
