journal_entry_id,gl_account_number,amount,debit_amount,credit_amount,debit_credit_indicator
30000005,657000,332.55,332.55,0.0,S
30000005,401450,-332.55,0.0,332.55,H
30000006,656000,1026.59,1026.59,0.0,S
30000006,401450,-1026.59,0.0,1026.59,H
30000007,401450,-3099.51,0.0,3099.51,H
30000007,656000,3099.51,3099.51,0.0,S
30000008,656000,342.2,342.2,0.0,S
30000008,401450,-342.2,0.0,342.2,H
30000009,656000,1033.17,1033.17,0.0,S
30000009,401450,-1033.17,0.0,1033.17,H
30000010,657000,110.85,110.85,0.0,S
30000010,401450,-110.85,0.0,110.85,H
30000011,401450,-342.2,0.0,342.2,H
30000011,656000,342.2,342.2,0.0,S
30000012,401450,-1033.17,0.0,1033.17,H
30000012,656000,1033.17,1033.17,0.0,S
30000013,401450,-110.85,0.0,110.85,H
30000013,657000,110.85,110.85,0.0,S
30000014,401450,-1033.17,0.0,1033.17,H
30000014,656000,1033.17,1033.17,0.0,S
30000015,656000,342.2,342.2,0.0,S
30000015,401450,-342.2,0.0,342.2,H
30000016,401450,-110.85,0.0,110.85,H
30000016,657000,110.85,110.85,0.0,S
30000017,657000,110.85,110.85,0.0,S
30000017,401450,-110.85,0.0,110.85,H
30000018,656000,342.2,342.2,0.0,S
30000018,401450,-342.2,0.0,342.2,H
30000019,401450,-1033.17,0.0,1033.17,H
30000019,656000,1033.17,1033.17,0.0,S
30000020,657000,110.85,110.85,0.0,S
30000020,401450,-110.85,0.0,110.85,H
30000021,401450,-342.2,0.0,342.2,H
30000021,656000,342.2,342.2,0.0,S
30000022,401450,-1033.17,0.0,1033.17,H
30000022,656000,1033.17,1033.17,0.0,S
30000023,401450,-110.85,0.0,110.85,H
30000023,657000,110.85,110.85,0.0,S
30000024,401450,-342.2,0.0,342.2,H
30000024,656000,342.2,342.2,0.0,S
30000025,401450,-1033.17,0.0,1033.17,H
30000025,656000,1033.17,1033.17,0.0,S
30000026,401450,-342.2,0.0,342.2,H
30000026,656000,342.2,342.2,0.0,S
30000027,401450,-1033.17,0.0,1033.17,H
30000027,656000,1033.17,1033.17,0.0,S
30000028,657000,110.85,110.85,0.0,S
30000028,401450,-110.85,0.0,110.85,H
30000029,401450,-428.51,0.0,428.51,H
30000029,616400,428.51,428.51,0.0,S
30000030,657000,248.26,248.26,0.0,S
30000030,401450,-248.26,0.0,248.26,H
30000031,401450,-1098.84,0.0,1098.84,H
30000031,656000,1098.84,1098.84,0.0,S
30000032,656000,12398.04,12398.04,0.0,S
30000032,401450,-12398.04,0.0,12398.04,H
30000033,671800,528.25,528.25,0.0,S
30000033,401450,-528.25,0.0,528.25,H
30000034,401450,13431.21,13431.21,0.0,S
30000034,656000,-13431.21,0.0,13431.21,H
100000384,51120914,-53037.6,0.0,53037.6,H
100000384,51120914,53037.6,53037.6,0.0,S
100000385,706542,1548.84,1548.84,0.0,S
100000385,408101,-1548.84,0.0,1548.84,H
100000389,51120914,-63003.06,0.0,63003.06,H
100000389,51120914,63003.06,63003.06,0.0,S
100000396,423000,-61.81,0.0,61.81,H
100000396,626130,14.69,14.69,0.0,S
100000396,626130,47.12,47.12,0.0,S
100000400,641100,-880.0,0.0,880.0,H
100000400,401100,880.0,880.0,0.0,S
100000402,401100,880.0,880.0,0.0,S
100000402,641100,-880.0,0.0,880.0,H
100000403,641100,-1100.0,0.0,1100.0,H
100000403,401100,1100.0,1100.0,0.0,S
100000404,401100,1100.0,1100.0,0.0,S
100000404,641100,-1100.0,0.0,1100.0,H
100000405,641100,-1100.0,0.0,1100.0,H
100000405,401100,1100.0,1100.0,0.0,S
100000406,401100,1100.0,1100.0,0.0,S
100000406,641100,-1100.0,0.0,1100.0,H
100000407,641100,-1320.0,0.0,1320.0,H
100000407,401100,1320.0,1320.0,0.0,S
100000410,641311,935.0,935.0,0.0,S
100000410,421000,-935.0,0.0,935.0,H
100000411,421000,-8708.33,0.0,8708.33,H
100000411,641311,8708.33,8708.33,0.0,S
100000412,641311,650.0,650.0,0.0,S
100000412,421000,-1066.67,0.0,1066.67,H
100000412,641311,416.67,416.67,0.0,S
100000413,641311,3187.5,3187.5,0.0,S
100000413,641311,875.0,875.0,0.0,S
100000413,421000,-4062.5,0.0,4062.5,H
100000414,641321,595.24,595.24,0.0,S
100000414,641321,667.86,667.86,0.0,S
100000414,421000,-1882.15,0.0,1882.15,H
100000414,641321,619.05,619.05,0.0,S
100000415,641321,1517.86,1517.86,0.0,S
100000415,641321,2488.1,2488.1,0.0,S
100000415,641321,833.33,833.33,0.0,S
100000415,421000,-4839.29,0.0,4839.29,H
100000416,645160,879.07,879.07,0.0,S
100000416,645160,4281.41,4281.41,0.0,S
100000416,645160,2025.8,2025.8,0.0,S
100000416,645160,642.88,642.88,0.0,S
100000416,645160,312.75,312.75,0.0,S
