journal_entry_id,line_number,gl_account_number,amount,debit_credit_indicator,business_unit,cost_center,department,project_code,location,line_description,reference_number,customer_id,vendor_id,product_id,user_defined_01,user_defined_02,user_defined_03
8589,78602,6260001,-25.0,,,,,,,TRASNFERENCIA SANTANDER-BBVA,,,,,,,
8589,78600,5720001,35025.0,,,,,,,TRASNFERENCIA SANTANDER-BBVA,,,,,,,
8589,78601,5720001,-35000.0,,,,,,,TRASNFERENCIA SANTANDER-BBVA,,,,,,,
8597,78623,4770001,-2596.69,,,,,,,SEVERIANO SERVICIO MOVIL S.A.U,,,,,,,
8597,78624,4300001,14961.86,,,,,,,SEVERIANO SERVICIO MOVIL S.A.U,,,,,,,
8597,78622,7520001,-12365.17,,,,,,,SEVERIANO SERVICIO MOVIL S.A.U,,,,,,,
8598,78627,4300001,9595.91,,,,,,,GLOBAL AZOAGUE S.L.,,,,,,,
8598,78625,7520001,-7930.5,,,,,,,GLOBAL AZOAGUE S.L.,,,,,,,
8598,78626,4770001,-1665.41,,,,,,,GLOBAL AZOAGUE S.L.,,,,,,,
8599,78628,7520001,-5828.0,,,,,,,INTERIOR SERVICES GROUP IBERIA S.L.U.,,,,,,,
8599,78630,4300001,7051.88,,,,,,,INTERIOR SERVICES GROUP IBERIA S.L.U.,,,,,,,
8599,78629,4770001,-1223.88,,,,,,,INTERIOR SERVICES GROUP IBERIA S.L.U.,,,,,,,
8618,78781,4100001,10485.25,,,,,,,ESPERT PALOMARES. DAVID,,,,,,,
8618,78782,5720001,-10485.25,,,,,,,ESPERT PALOMARES. DAVID,,,,,,,
8620,78787,5720001,-4236.14,,,,,,,Liq. orden pago ORPG0586,,,,,,,
8620,78786,4010001,4236.14,,,,,,,Liq. efecto a pagar P23PGS0012/9827804,,,,,,,
8621,78788,4010001,15514.62,,,,,,,Liq. efecto a pagar P23PGS0011/9827801,,,,,,,
8621,78789,5720001,-15514.62,,,,,,,Liq. orden pago ORPG0585,,,,,,,
8622,78802,4100001,242.0,,,,,,,TELEFONICA MOVILES ESPAÑA. S.A,,,,,,,
8622,78831,5720001,-1521.51,,,,,,,HEWLETT-PACKARD INT. BANK PLC.,,,,,,,
8622,78794,4100001,106.08,,,,,,,BNP PARIBAS LEASE GROUP S.A.,,,,,,,
8622,78810,4100001,449.43,,,,,,,HEWLETT-PACKARD INT. BANK PLC.,,,,,,,
8622,78809,4100001,441.17,,,,,,,HEWLETT-PACKARD INT. BANK PLC.,,,,,,,
8622,78808,4100001,405.42,,,,,,,HEWLETT-PACKARD INT. BANK PLC.,,,,,,,
8622,78827,5720001,-657.49,,,,,,,HEWLETT-PACKARD INT. BANK PLC.,,,,,,,
8622,78830,5720001,-1166.08,,,,,,,HEWLETT-PACKARD INT. BANK PLC.,,,,,,,
8622,78828,5720001,-665.52,,,,,,,HEWLETT-PACKARD INT. BANK PLC.,,,,,,,
8622,78845,4100001,99.84,,,,,,,SANITAS,,,,,,,
8622,78829,5720001,-848.8,,,,,,,HEWLETT-PACKARD INT. BANK PLC.,,,,,,,
