journal_entry_id,posting_date,prepared_by,entry_date,description
1527816,2024-01-02,TREPAT-TS2\DANAM,2024-01-02,
1527817,2024-01-02,TREPAT-TS2\DANAM,2024-01-02,
1527818,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1527819,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1527826,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527827,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527828,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527829,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527830,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527831,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527832,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527833,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527834,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527835,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527836,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527837,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527838,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527839,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527840,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527841,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527842,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527843,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527844,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527845,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527846,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527847,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527848,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527849,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527850,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527851,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527852,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527853,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527854,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527855,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527856,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527857,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527858,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527859,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527860,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527861,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527862,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527863,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527864,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527865,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527866,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527867,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527868,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527869,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527870,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1527871,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1527872,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1527873,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1527874,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527875,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527876,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527877,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527878,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527879,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527880,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527881,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527882,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527883,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527884,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527885,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527886,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527887,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527888,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527889,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527890,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527891,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527892,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527893,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527894,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527895,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527896,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527897,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527898,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527899,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527900,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527901,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527902,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527903,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527904,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527905,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527906,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
