journal_entry_id,posting_date,description
132511.0,31/01/2024,SEGURIDAD SOCIAL A CARGO
137583.0,31/01/2024,SEGURIDAD SOCIAL ACCIDENTES
220844.0,02/01/2024,Cobro n/fra. 501003634 (GEOH
220845.0,02/01/2024,Recepción anticipo cliente
220847.0,02/01/2024,Cobro n/fra. 521005507 (2VG
220848.0,02/01/2024,Cobro n/fra. 501002823 (LOOMIS
220849.0,02/01/2024,Cobro n/fra. 501003343
220850.0,02/01/2024,Cobro n/fra. 202201154
220853.0,02/01/2024,Cobro n/fra. 501003950
220854.0,02/01/2024,Cobro n/fra. 501002322 (SAN
220855.0,02/01/2024,Cobro n/fra. 521005658 (EXCMO
220856.0,02/01/2024,Cobro agrupación de efectos
220867.0,02/01/2024,Cobro n/fra. 511002010
220869.0,02/01/2024,Cobro agrupación de efectos
220870.0,02/01/2024,Pago s/fra. 23/247 (COLORS CAR
220903.0,02/01/2024,Cobro n/fra. 391020091
220905.0,02/01/2024,Cobro n/fra. 391021225
220906.0,02/01/2024,Cobro n/fra. 611004057
220907.0,02/01/2024,Cobro n/fra. 611002986
220908.0,02/01/2024,Cobro n/fra. 611003425
220909.0,02/01/2024,Cobro n/fra. 611004308
220910.0,02/01/2024,Cobro agrupación de efectos
220911.0,02/01/2024,Cobro n/fra. 611003644 (EREGI
220912.0,02/01/2024,Cobro n/fra. 611003895
220913.0,02/01/2024,Cobro n/fra. 511001652 (EXCMO.
220914.0,02/01/2024,Pago s/fra. 2023/10/002406
220915.0,02/01/2024,Pago s/fra. 237025738 (JUAN
220916.0,02/01/2024,Cobro n/fra. 391020512 (ROMA
220917.0,02/01/2024,Cobro agrupación de efectos
220918.0,02/01/2024,Pago s/fra. FCR 1510 (RECANVIS
220919.0,02/01/2024,Cobro agrupación de efectos
220920.0,02/01/2024,Cobro n/fra. 391019982 (UTE
220921.0,02/01/2024,Cobro n/fra. 511002746
220922.0,02/01/2024,Cobro n/fra. 391020996 (MARC
220923.0,02/01/2024,Cobro n/fra. 611003655
220925.0,02/01/2024,Pago s/fra. P23CON031890036
220930.0,01/01/2024,De s/fra. C12-24 (PRIMAGNA S.L.)
220931.0,02/01/2024,Recepción anticipo cliente JOSEP
220932.0,01/01/2024,De s/fra. A1/2024 (ALBA
220933.0,01/01/2024,De s/fra. C1/2024 (CONCEPCION
220934.0,01/01/2024,De s/fra. M1/2024 (MIRIAM
220937.0,01/01/2024,De s/fra. 2401C00049286
220938.0,02/01/2024,De s/fra. 71 (MATASGORDAS
220941.0,02/01/2024,Recepción anticipo cliente
220942.0,02/01/2024,Liquidacion  Jesus Antonio
220943.0,02/01/2024,De s/fra. 1 000016
220944.0,02/01/2024,De s/fra. ALQ012024 (JOSE
220945.0,02/01/2024,Dif. nomina Luis Alfonso Rojo
220952.0,02/01/2024,Cobro n/fra. 391020551 (SPORTS
220953.0,02/01/2024,Cobro n/fra. 391018892 (SPORTS
220954.0,02/01/2024,Cobro agrupación de efectos
220955.0,02/01/2024,Recepción anticipo cliente
220956.0,02/01/2024,Cobro n/fra. 521005883
220957.0,03/01/2024,Cobro n/fra. 501003633 (GEOH
220958.0,03/01/2024,Cobro n/fra. 521005225
220959.0,03/01/2024,Cobro agrupación de efectos
220960.0,03/01/2024,Recepción anticipo cliente
220961.0,03/01/2024,Cobro n/fra. 501003860 (APRO
220962.0,03/01/2024,Cobro n/fra. 501003861 (APRO
220963.0,03/01/2024,Cobro n/fra. 521004689 (C.M.T.
220965.0,03/01/2024,Cobro n/fra. 391019948
220966.0,02/01/2024,De s/fra. 410N64FM1000 (BANCO
220968.0,02/01/2024,Pago s/fra. 410N64FM1000
220970.0,02/01/2024,De s/fra. 411PVU8PH000
220971.0,02/01/2024,Pago s/fra. 411PVU8PH000
221282.0,03/01/2024,Cobro agrupación de efectos
221394.0,02/01/2024,Cobro n/fra. 391019804
221448.0,03/01/2024,Cobro n/fra. 391019057 (GARCIA
221587.0,02/01/2024,Recepción anticipo cliente
221638.0,02/01/2024,Cobro agrupación de efectos
221639.0,02/01/2024,Cobro agrupación de efectos
221640.0,02/01/2024,Cobro n/fra. 391017646
221641.0,02/01/2024,Cobro n/fra. 391020457 (MIGUEL
221642.0,02/01/2024,Cobro n/fra. 391019876 (NUMTA
221643.0,02/01/2024,Cobro agrupación de efectos
221644.0,02/01/2024,Cobro agrupación de efectos
221645.0,02/01/2024,Cobro agrupación de efectos
221646.0,02/01/2024,Cobro n/fra. 611002820
221647.0,02/01/2024,Cobro n/fra. 611002310
221648.0,02/01/2024,Cobro n/fra. 611002722 (AXOR
221649.0,02/01/2024,Cobro n/fra. 611003320
221650.0,02/01/2024,Cobro agrupación de efectos
221651.0,02/01/2024,Cobro agrupación de efectos
221652.0,02/01/2024,Cobro agrupación de efectos
221653.0,02/01/2024,Cobro n/fra. 611002879
221654.0,02/01/2024,Cobro agrupación de efectos
221655.0,02/01/2024,Cobro n/fra. 611003847 (VIUDA
221656.0,02/01/2024,Cobro n/fra. 611003082
221657.0,02/01/2024,Cobro agrupación de efectos
221658.0,02/01/2024,Cobro agrupación de efectos
221893.0,02/01/2024,Gastos remesas
221894.0,02/01/2024,Gastos remesas
221895.0,02/01/2024,Gastos remesas
221896.0,02/01/2024,Recepción anticipo cliente
221897.0,03/01/2024,Cobro agrupación de efectos
221899.0,03/01/2024,Pago s/fra. B02023000048
221901.0,02/01/2024,Seguro Allianz Pol. 053597365 -
221902.0,02/01/2024,Seguro Allianz Pol.Alianz
221904.0,03/01/2024,Entrega anticipo proveedor
221905.0,02/01/2024,Recibo Allianz Pol. 053597365
221906.0,02/01/2024,Recibo Allianz 2692LPF Pol
221907.0,02/01/2024,Seguro Allianz Pol 053597365
221909.0,03/01/2024,Pago s/fra. O 000582/23 (MIGUEL
221920.0,07/01/2024,De s/fra. 2400048 (TRANSOLVER
221921.0,01/01/2024,De s/fra. TA78P0007464
221923.0,01/01/2024,De s/fra. 002/2024 (JUAN
221928.0,03/01/2024,Recepción efecto fra. 521005192
221929.0,03/01/2024,Recepción efecto fra. 521005746
221931.0,03/01/2024,Recepción efecto fra. 521003561
221932.0,03/01/2024,Recepción agrupación 2603
221933.0,03/01/2024,Recepción agrupación 2604
221934.0,09/01/2024,De s/fra. F/240000012
221935.0,03/01/2024,Pago s/fra. F/240000012
222519.0,03/01/2024,Cobro n/fra. 611004091
222591.0,02/01/2024,De s/fra. 24 000003 (JUANA
222595.0,04/01/2024,Cobro agrupación de efectos
222618.0,04/01/2024,Cobro agrupación de efectos
222719.0,01/01/2024,De s/fra. 0000004852/2024
222725.0,04/01/2024,Pago s/fra. 0000004852/2024
222736.0,01/01/2024,De s/fra. 0000024462/2024
222737.0,04/01/2024,Pago s/fra. 0000024462/2024
222739.0,03/01/2024,Impago Amber Restauranciones
222741.0,03/01/2024,Cobro n/fra. 391019769
222750.0,05/01/2024,De s/fra. 1/6 (MORISON ACPM
222958.0,01/01/2024,De s/fra. 2401C00263297
222968.0,04/01/2024,Devolución anticipo cliente
222969.0,04/01/2024,Embargo Elena Pastor Juz 1º
222970.0,04/01/2024,Embargo Juan Cirilo Ele  S.social
222971.0,04/01/2024,Embargo Koum Bernard juz. 1º
222972.0,04/01/2024,Embargo  Iaciu Constantin Ayto
222973.0,04/01/2024,Embargo  Andres Triviño s.social
222974.0,04/01/2024,Embargo Javier Fernandez Juz.
222975.0,04/01/2024,Embargo Soufiyame Bouga Juz.
222976.0,04/01/2024,Devolución anticipo cliente
222977.0,04/01/2024,Embargo Dip.Floral  Exp.185644-
222978.0,04/01/2024,Embargo Henry Lewis Exp
222980.0,04/01/2024,Gasot Angel Maisanchez
222987.0,04/01/2024,Anticipo Dembele
223001.0,01/01/2024,De s/fra. 2024/ 136 (BMC-
223003.0,02/01/2024,De s/fra. 4-24001 (KARRADAIN
223004.0,02/01/2024,De s/fra. TB-2024-F 4 (FAQLECH
223005.0,01/01/2024,De s/fra. ALQUILER WCLOC7
223007.0,01/01/2024,De s/fra. AL/0050/2023 (MONICA
223009.0,03/01/2024,De s/fra. FPRVE2401-0019 (HUNE
223011.0,02/01/2024,De s/fra. 202401 (GESTION
223014.0,02/01/2024,Pago s/fra. TA78P0007464
223015.0,02/01/2024,De s/fra. 240791A00004060
223016.0,02/01/2024,Pago s/fra. 240791A00004060
223017.0,02/01/2024,De s/fra. 240791A00006577
223018.0,02/01/2024,Pago s/fra. 240791A00006577
223019.0,02/01/2024,Pago agrupación de efectos 137
223021.0,02/01/2024,Pago s/fra. 2300901 (GRUPO
223022.0,04/01/2024,Pago s/fra. 23000257/1 (JUAN
223023.0,04/01/2024,Pago s/fra. 23000258/1 (JUAN
223037.0,04/01/2024,Pago s/fra. 291049332 (WC LOC
223038.0,03/01/2024,De s/fra. 24/1 (COLORS CAR
223039.0,05/01/2024,Pago s/fra. 24/1 (COLORS CAR
223062.0,03/01/2024,Seguro Allianz Nave
223070.0,04/01/2024,Pago s/fra. TB-2024-F 4
223071.0,04/01/2024,Gastos remesas
223073.0,05/01/2024,Pago s/fra. 000432 (BITSIS
223074.0,01/01/2024,De s/fra. 2401C00050985
223075.0,05/01/2024,Pago s/fra. 2401C00050985
223076.0,05/01/2024,Pago s/fra. 2023122603271
223077.0,05/01/2024,Cobro n/fra. 391021551 (PUB
223078.0,05/01/2024,Cobro n/fra. 391021552 (PUB
223080.0,01/01/2024,De s/fra. A/1-2024 (DICANATURE
223082.0,05/01/2024,Cobro n/fra. 611003795 (STM
223085.0,05/01/2024,Cobro agrupación de efectos
223086.0,05/01/2024,Cobro n/fra. 391021357
223087.0,05/01/2024,Liquidacion Tarjeta  **1019
223088.0,02/01/2024,Recibo Allianz R2327BCV 01-03-
223095.0,02/01/2024,Recibo Allianz 6124LWK 01-03-
223096.0,05/01/2024,Cobro n/fra. 391019209
223097.0,05/01/2024,Cobro n/fra. 391020124
223098.0,01/01/2024,Pago a Cta Google
223099.0,05/01/2024,Liquidacion Montserrrat Nieto
223100.0,05/01/2024,Pago botas a Javier Fernandez
223101.0,05/01/2024,Cobro agrupación de efectos
223102.0,01/01/2024,De s/fra. A/1 (CARLOS CASTRO
223103.0,02/01/2024,Recibo Allianz 7309MFR 01-02-24
223104.0,02/01/2024,Recibo Allianz 0954MFP 01-01-24
223105.0,02/01/2024,Recibo Allianz 8048KKN 01-02-24
223106.0,03/01/2024,Liquidacion de comisiones e
223107.0,04/01/2024,De s/fra. 240791A00010517
223108.0,04/01/2024,Pago s/fra. 240791A00010517
223109.0,04/01/2024,Gasto Telefonica Moviles SA
223110.0,04/01/2024,Gasto Telefonica de España SAU
223111.0,04/01/2024,Gastos desplazamiento
223112.0,05/01/2024,Adeudo Tarjeta Toni Diciembre
223113.0,05/01/2024,Adeudo tarjeta Lourdes Diciembre
223114.0,05/01/2024,Adeudo tarjeta Conchi Diciembre
223115.0,05/01/2024,Adeudo tarjeta Mireia Diciembre
223116.0,05/01/2024,De s/fra. 240791A00012282
223117.0,05/01/2024,Pago s/fra. 240791A00012282
223118.0,05/01/2024,De s/fra. 240791A00012283
223119.0,05/01/2024,Pago s/fra. 240791A00012283
223120.0,05/01/2024,Pago s/fra. 230009204350
223121.0,05/01/2024,Pago s/fra. ALQ23111911
223122.0,05/01/2024,Pago s/fra. ALQ23111915
223123.0,05/01/2024,Pago s/fra. ALQ23111909
223124.0,05/01/2024,Pago s/fra. ALQ23111913
223125.0,05/01/2024,Pago s/fra. ALQ23111912
223126.0,05/01/2024,Pago s/fra. ALQ23111914
223127.0,05/01/2024,Pago s/fra. ALQ23111910
223128.0,05/01/2024,Pago s/fra. ALQ23111916
223129.0,05/01/2024,Pago s/fra. ALQ23111917
223130.0,05/01/2024,Pago s/fra. ALQ23111918
223131.0,05/01/2024,Pago s/fra. 232671 (INFOLAB
223132.0,05/01/2024,Pago s/fra. 23000818/1 (MAT.
223133.0,05/01/2024,Pago s/fra. 2400048
223134.0,05/01/2024,Pago s/fra. 5010FR10053889
223135.0,05/01/2024,Pago s/fra. 2401C00263297
223136.0,05/01/2024,Pago s/fra. 2401C00049286
223138.0,05/01/2024,De s/fra. Y33L20230000015.009
223139.0,05/01/2024,Pago s/fra.
223140.0,05/01/2024,De s/fra. Y33L20230000016.009
223141.0,05/01/2024,Pago s/fra.
223142.0,05/01/2024,De s/fra. Y33L20230000017.009
223143.0,05/01/2024,Pago s/fra.
223146.0,02/01/2024,De s/fra. 240000001651 (CANAL
223151.0,04/01/2024,Cobro agrupación de efectos
223152.0,04/01/2024,Cobro agrupación de efectos
223153.0,02/01/2024,Liquidacion intereses -
223154.0,04/01/2024,Cobro n/fra. 411001523
223155.0,04/01/2024,Cobro agrupación de efectos
223156.0,04/01/2024,Cobro n/fra. 501004273
223157.0,04/01/2024,Cobro n/fra. 501004272
223158.0,04/01/2024,Cobro n/fra. 521003683
223159.0,04/01/2024,Cobro n/fra. 521004719
223161.0,04/01/2024,Cobro n/fra. 411001574
223164.0,04/01/2024,Cobro agrupación de efectos
223165.0,04/01/2024,Cobro n/fra. 521004703
223166.0,04/01/2024,Cobro n/fra. 521005498
223167.0,04/01/2024,Cobro n/fra. 501004330
223168.0,04/01/2024,Cobro n/fra. 521006424 (ERIC &
223169.0,04/01/2024,Cobro agrupación de efectos
223170.0,04/01/2024,Cobro n/fra. 521005211
223171.0,04/01/2024,Cobro n/fra. 521004632
223172.0,05/01/2024,Cobro n/fra. 521006458 (LAPA
223173.0,05/01/2024,Cobro n/fra. 521004676 (GRUPO
223174.0,05/01/2024,Cobro n/fra. 501004031
223175.0,05/01/2024,Cobro n/fra. 501003675
223176.0,08/01/2024,Transf. gastos material madrid
223179.0,05/01/2024,Recepción anticipo cliente
223180.0,08/01/2024,De s/fra. 1361893 (PLUXEE
223181.0,08/01/2024,Pago s/fra. 1361893 (PLUXEE
223182.0,05/01/2024,Cobro n/fra. 521005938 (NORIX
223183.0,05/01/2024,Cobro n/fra. 521005386 (NORIX
223184.0,05/01/2024,Cobro n/fra. 501004289
223185.0,05/01/2024,Cobro agrupación de efectos
223187.0,05/01/2024,Recepción anticipo cliente
223190.0,05/01/2024,Cobro agrupación de efectos
223192.0,05/01/2024,Recepción anticipo cliente
223194.0,05/01/2024,Cobro n/fra. 521004532 (GAM
223196.0,06/01/2024,De s/fra. 241112233404 (VIVA
223197.0,05/01/2024,Cobro n/fra. 521005967
223199.0,05/01/2024,Deovl Seguro Allianz Nave
223200.0,08/01/2024,Pago s/fra. A/1 (CARLOS
223201.0,05/01/2024,Cobro n/fra. 521006392
223202.0,05/01/2024,Cobro agrupación de efectos 912
223203.0,05/01/2024,Cobro n/fra. 391016833
223204.0,05/01/2024,Cobro n/fra. 391015718
223205.0,05/01/2024,Cobro agrupación de efectos
223206.0,05/01/2024,Cobro n/fra. 611003797 (STM
223207.0,05/01/2024,Cobro n/fra. 611003794 (STM
223208.0,05/01/2024,Cobro n/fra. 611003796 (STM
223209.0,05/01/2024,Recepción anticipo cliente
223210.0,08/01/2024,Cobro n/fra. 521006418 (ELITECO
223211.0,08/01/2024,Cobro n/fra. 521006419 (ELITECO
223212.0,08/01/2024,Cobro n/fra. 391019176
223213.0,04/01/2024,Impago Amber Restauranciones-
223214.0,08/01/2024,Cobro n/fra. 501003879 (BASSE
223216.0,08/01/2024,Recepción anticipo cliente
223217.0,08/01/2024,Cobro agrupación de efectos
223218.0,08/01/2024,Cobro agrupación de efectos
223219.0,08/01/2024,Cobro agrupación de efectos
223220.0,03/01/2024,Cobro n/fra. 501004312
223221.0,03/01/2024,Cobro n/fra. 521005261 (SONAE
223222.0,08/01/2024,Pago s/fra. 23.564.001 (AGUAS
223223.0,05/01/2024,De s/fra. 000002 (GRUPO GR
223224.0,08/01/2024,Recepción agrupación 2619
223225.0,01/01/2024,De s/fra. A2324167052
223226.0,05/01/2024,Pago s/fra. A2324167052
223227.0,08/01/2024,Recepción efecto fra. 521005700
223228.0,08/01/2024,Cobro agrupación de efectos
223229.0,08/01/2024,Cobro agrupación de efectos
223230.0,08/01/2024,Cobro n/fra. 391019208
223231.0,01/01/2024,De s/fra. 0000015595/2024
223232.0,04/01/2024,Pago s/fra. 0000015595/2024
223233.0,01/01/2024,De s/fra. 2401C00209650
223234.0,05/01/2024,Pago s/fra. 2401C00209650
223235.0,08/01/2024,Recepción efecto fra. 521005867
223236.0,08/01/2024,Recepción efecto fra. 521005257
223239.0,05/01/2024,Cobro agrupación de efectos
223241.0,08/01/2024,Cobro n/fra. 391021044
223242.0,08/01/2024,Cobro n/fra. 391021679 (YATUA
223243.0,02/01/2024,Recepción anticipo cliente
223244.0,05/01/2024,De s/fra. 4335SJD41000 (BANCO
223245.0,05/01/2024,Pago s/fra. 4335SJD41000
223246.0,05/01/2024,De s/fra. 4335SJD43000 (BANCO
223247.0,05/01/2024,Pago s/fra. 4335SJD43000
223248.0,08/01/2024,Cobro n/fra. 391021200
223249.0,08/01/2024,Cobro n/fra. 391021202
223250.0,08/01/2024,Cobro agrupación de efectos
223251.0,08/01/2024,Cobro agrupación de efectos
223252.0,08/01/2024,Cobro agrupación de efectos
223253.0,08/01/2024,Cobro agrupación de efectos
223254.0,08/01/2024,De s/fra. 2 (NEUMÁTICOS
223255.0,08/01/2024,Pago s/fra. 2 (NEUMÁTICOS
223256.0,08/01/2024,Cobro n/fra. 611001705 (REAL
223258.0,08/01/2024,Pago s/fra. P23CON032632886
223262.0,05/01/2024,Pago agrupación de efectos 139
223266.0,05/01/2024,De s/fra. 241112213845 (VIVA
223267.0,08/01/2024,Pago s/fra. 241112213845 (VIVA
223268.0,01/01/2024,De s/fra. 3 (ANGEL MOLINA
223269.0,03/01/2024,Pago s/fra. 3 (ANGEL MOLINA
223305.0,08/01/2024,Cobro n/fra. 501003992
223306.0,09/01/2024,Cobro agrupación de efectos
223307.0,09/01/2024,Cobro n/fra. 521006445 (IDEAL
223308.0,09/01/2024,Cobro n/fra. 501002354
223309.0,09/01/2024,Cobro n/fra. 501002965 (EXCMO
223310.0,09/01/2024,Recepción anticipo cliente
223311.0,09/01/2024,Cobro n/fra. 501004297
223312.0,05/01/2024,Cobro n/fra. 391019175
223313.0,08/01/2024,Cobro n/fra. 391019172
223314.0,08/01/2024,Cobro n/fra. 391019173
223315.0,08/01/2024,Entrega anticipo proveedor
