journal_entry_id,posting_date,fiscal_year,prepared_by
100000000,,2024,PARNEDO
100000001,,2024,PARNEDO
100000002,,2024,PARNEDO
100000003,,2024,PARNEDO
100000004,,2024,PARNEDO
100000005,,2024,PARNEDO
100000006,,2024,PARNEDO
100000007,,2024,PARNEDO
100000008,,2024,PARNEDO
100000009,,2024,PARNEDO
100000010,,2024,PARNEDO
100000011,,2024,PARNEDO
100000012,,2024,PARNEDO
100000013,,2024,PARNEDO
100000014,,2024,PARNEDO
100000016,03/01/2024,2024,MRAMOS
100000017,03/01/2024,2024,MRAMOS
100000018,03/01/2024,2024,MRAMOS
100000019,03/01/2024,2024,MRAMOS
100000020,,2024,PARNEDO
100000021,,2024,PARNEDO
100000022,,2024,PARNEDO
100000023,,2024,PARNEDO
100000024,,2024,PARNEDO
100000025,,2024,PARNEDO
100000026,,2024,PARNEDO
100000027,,2024,PARNEDO
100000028,,2024,PARNEDO
100000029,,2024,PARNEDO
100000030,,2024,PARNEDO
100000031,,2024,PARNEDO
100000032,,2024,PARNEDO
100000033,,2024,PARNEDO
100000034,,2024,PARNEDO
100000035,,2024,PARNEDO
100000036,,2024,PARNEDO
100000037,,2024,PARNEDO
100000038,,2024,PARNEDO
100000039,,2024,PARNEDO
100000040,,2024,PARNEDO
100000041,,2024,PARNEDO
100000042,,2024,PARNEDO
100000043,,2024,PARNEDO
100000044,,2024,PARNEDO
100000045,,2024,PARNEDO
100000046,,2024,PARNEDO
100000047,,2024,PARNEDO
100000048,,2024,PARNEDO
100000049,,2024,PARNEDO
100000050,,2024,PARNEDO
100000051,,2024,PARNEDO
100000052,,2024,PARNEDO
100000053,,2024,PARNEDO
100000054,,2024,PARNEDO
100000055,,2024,PARNEDO
100000056,,2024,PARNEDO
100000057,,2024,PARNEDO
100000058,,2024,PARNEDO
100000059,,2024,PARNEDO
100000060,,2024,PARNEDO
100000061,,2024,PARNEDO
100000062,,2024,PARNEDO
100000063,,2024,PARNEDO
100000064,,2024,PARNEDO
100000065,,2024,PARNEDO
100000066,,2024,PARNEDO
100000067,,2024,PARNEDO
100000068,,2024,PARNEDO
100000069,,2024,PARNEDO
100000070,,2024,PARNEDO
100000071,,2024,PARNEDO
100000072,,2024,PARNEDO
100000073,,2024,PARNEDO
100000074,,2024,PARNEDO
100000075,,2024,PARNEDO
100000076,,2024,PARNEDO
100000077,,2024,PARNEDO
100000078,,2024,PARNEDO
100000079,,2024,PARNEDO
100000080,,2024,PARNEDO
100000081,,2024,PARNEDO
100000082,,2024,PARNEDO
100000083,,2024,PARNEDO
100000084,,2024,PARNEDO
100000085,,2024,PARNEDO
100000086,,2024,PARNEDO
100000087,,2024,PARNEDO
