journal_entry_id,posting_date,prepared_by
1,08/08/2024,Pablo Mayoral
2,08/08/2024,Pablo Mayoral
3,01/04/2024,Joanna Rodriguez Loaiza
4,01/04/2024,Fernando Gómez
5,01/04/2024,manager
6,01/04/2024,Ignacio Corral Aragón
7,02/04/2024,Ignacio Corral Aragón
8,02/04/2024,Albert De Moya Palacio
9,02/04/2024,Albert De Moya Palacio
10,01/04/2024,Ignacio Corral Aragón
11,02/04/2024,Albert De Moya Palacio
12,02/04/2024,Joanna Rodriguez Loaiza
13,01/04/2024,Ignacio Corral Aragón
14,02/04/2024,Ignacio Corral Aragón
15,02/04/2024,Albert De Moya Palacio
16,02/04/2024,Albert De Moya Palacio
17,02/04/2024,Albert De Moya Palacio
18,01/04/2024,Pablo Mayoral
19,01/04/2024,Ignacio Corral Aragón
20,02/04/2024,Albert De Moya Palacio
21,02/04/2024,Albert De Moya Palacio
22,01/04/2024,Ignacio Corral Aragón
23,02/04/2024,Albert De Moya Palacio
24,02/04/2024,Ignacio Corral Aragón
25,02/04/2024,Ignacio Corral Aragón
26,02/04/2024,Albert De Moya Palacio
27,01/04/2024,Pablo Mayoral
28,02/04/2024,Albert De Moya Palacio
29,01/04/2024,Joanna Rodriguez Loaiza
30,02/04/2024,Albert De Moya Palacio
31,02/04/2024,Rocío Carmona
32,02/04/2024,Albert De Moya Palacio
33,02/04/2024,Albert De Moya Palacio
34,02/04/2024,Albert De Moya Palacio
35,02/04/2024,Albert De Moya Palacio
36,02/04/2024,Albert De Moya Palacio
37,01/04/2024,Joanna Rodriguez Loaiza
38,01/04/2024,Joanna Rodriguez Loaiza
39,01/04/2024,Joanna Rodriguez Loaiza
40,02/04/2024,Albert De Moya Palacio
41,02/04/2024,Albert De Moya Palacio
42,02/04/2024,Albert De Moya Palacio
43,02/04/2024,Albert De Moya Palacio
44,02/04/2024,Albert De Moya Palacio
45,02/04/2024,Albert De Moya Palacio
46,01/04/2024,Pablo Mayoral
47,02/04/2024,Pablo Mayoral
48,01/04/2024,Pablo Mayoral
49,02/04/2024,Pablo Mayoral
50,02/04/2024,Pablo Mayoral
51,02/04/2024,Pablo Mayoral
52,02/04/2024,Albert De Moya Palacio
53,02/04/2024,Pablo Mayoral
54,02/04/2024,Albert De Moya Palacio
55,02/04/2024,Pablo Mayoral
56,02/04/2024,Albert De Moya Palacio
57,01/04/2024,Pablo Mayoral
58,01/04/2024,Pablo Mayoral
59,01/04/2024,Pablo Mayoral
60,01/04/2024,Pablo Mayoral
61,01/04/2024,Pablo Mayoral
62,01/04/2024,Pablo Mayoral
63,01/04/2024,Pablo Mayoral
64,02/04/2024,Albert De Moya Palacio
65,02/04/2024,Albert De Moya Palacio
66,02/04/2024,Albert De Moya Palacio
67,02/04/2024,Albert De Moya Palacio
68,02/04/2024,Albert De Moya Palacio
69,01/04/2024,Pablo Mayoral
70,01/04/2024,Pablo Mayoral
71,01/04/2024,Pablo Mayoral
72,01/04/2024,Pablo Mayoral
73,01/04/2024,Pablo Mayoral
74,01/04/2024,Pablo Mayoral
75,01/04/2024,Pablo Mayoral
76,02/04/2024,Albert De Moya Palacio
77,02/04/2024,Albert De Moya Palacio
78,02/04/2024,Albert De Moya Palacio
79,02/04/2024,Albert De Moya Palacio
80,02/04/2024,Albert De Moya Palacio
81,02/04/2024,Albert De Moya Palacio
82,02/04/2024,Albert De Moya Palacio
83,02/04/2024,Albert De Moya Palacio
84,02/04/2024,Albert De Moya Palacio
85,02/04/2024,Albert De Moya Palacio
86,02/04/2024,Albert De Moya Palacio
87,02/04/2024,Albert De Moya Palacio
88,02/04/2024,Albert De Moya Palacio
89,02/04/2024,Albert De Moya Palacio
90,02/04/2024,Albert De Moya Palacio
91,02/04/2024,Albert De Moya Palacio
92,01/04/2024,Joanna Rodriguez Loaiza
93,02/04/2024,Joanna Rodriguez Loaiza
94,02/04/2024,Joanna Rodriguez Loaiza
95,02/04/2024,Joanna Rodriguez Loaiza
96,02/04/2024,Joanna Rodriguez Loaiza
97,02/04/2024,Joanna Rodriguez Loaiza
98,02/04/2024,Joanna Rodriguez Loaiza
99,02/04/2024,Joanna Rodriguez Loaiza
100,02/04/2024,Joanna Rodriguez Loaiza
101,02/04/2024,Joanna Rodriguez Loaiza
102,02/04/2024,Joanna Rodriguez Loaiza
103,02/04/2024,Joanna Rodriguez Loaiza
104,02/04/2024,Pablo Mayoral
105,02/04/2024,Pablo Mayoral
106,02/04/2024,Joanna Rodriguez Loaiza
107,02/04/2024,Pablo Mayoral
108,02/04/2024,Pablo Mayoral
109,02/04/2024,Pablo Mayoral
110,02/04/2024,Pablo Mayoral
111,02/04/2024,Joanna Rodriguez Loaiza
112,03/04/2024,Pablo Mayoral
113,02/04/2024,Pablo Mayoral
114,02/04/2024,Pablo Mayoral
115,02/04/2024,Pablo Mayoral
116,02/04/2024,Joanna Rodriguez Loaiza
117,03/04/2024,Pablo Mayoral
118,03/04/2024,Pablo Mayoral
119,03/04/2024,Pablo Mayoral
120,02/04/2024,Joanna Rodriguez Loaiza
121,02/04/2024,Joanna Rodriguez Loaiza
122,03/04/2024,Albert De Moya Palacio
123,03/04/2024,Albert De Moya Palacio
124,02/04/2024,Joanna Rodriguez Loaiza
125,03/04/2024,Albert De Moya Palacio
126,02/04/2024,Joanna Rodriguez Loaiza
127,02/04/2024,Joanna Rodriguez Loaiza
128,02/04/2024,Joanna Rodriguez Loaiza
129,02/04/2024,Joanna Rodriguez Loaiza
130,02/04/2024,Joanna Rodriguez Loaiza
131,02/04/2024,Ignacio Corral Aragón
132,02/04/2024,Joanna Rodriguez Loaiza
133,02/04/2024,Joanna Rodriguez Loaiza
134,02/04/2024,Joanna Rodriguez Loaiza
135,02/04/2024,Joanna Rodriguez Loaiza
136,02/04/2024,Joanna Rodriguez Loaiza
137,02/04/2024,Joanna Rodriguez Loaiza
