journal_entry_id,fiscal_year,period_number,prepared_by,entry_date
30000005,2024,3,A667360,19/03/2024
30000006,2024,3,A667360,19/03/2024
30000007,2024,3,A667360,21/03/2024
30000008,2024,4,W126271,16/04/2024
30000009,2024,4,W126271,16/04/2024
30000010,2024,4,W126271,16/04/2024
30000011,2024,5,W126271,21/05/2024
30000012,2024,5,W126271,21/05/2024
30000013,2024,5,W126271,22/05/2024
30000014,2024,6,W126271,17/06/2024
30000015,2024,6,W126271,17/06/2024
30000016,2024,6,W126271,17/06/2024
30000017,2024,7,W126271,23/07/2024
30000018,2024,7,W126271,23/07/2024
30000019,2024,7,W126271,23/07/2024
30000020,2024,8,W126271,14/08/2024
30000021,2024,8,W126271,14/08/2024
30000022,2024,8,W126271,14/08/2024
30000023,2024,9,W121958,12/09/2024
30000024,2024,9,W121958,12/09/2024
30000025,2024,9,W121958,12/09/2024
30000026,2024,10,W126271,21/10/2024
30000027,2024,10,W126271,21/10/2024
30000028,2024,10,W121958,21/10/2024
30000029,2024,11,W126271,18/11/2024
30000030,2024,11,W126271,18/11/2024
30000031,2024,11,W126271,18/11/2024
30000032,2024,11,W126271,20/11/2024
30000033,2024,11,W126271,21/11/2024
30000034,2024,11,W126271,22/11/2024
100000384,2024,1,EXPLOIT$U,16/01/2024
100000385,2024,1,W128794,16/01/2024
100000389,2024,1,EXPLOIT$U,20/01/2024
100000396,2024,1,W122814,23/01/2024
100000400,2024,1,W106467,24/01/2024
100000402,2024,1,W106467,24/01/2024
100000403,2024,1,W106467,24/01/2024
100000404,2024,1,W106467,24/01/2024
100000405,2024,1,W106467,24/01/2024
100000406,2024,1,W106467,24/01/2024
100000407,2024,1,W106467,24/01/2024
100000410,2024,1,W128794,25/01/2024
100000411,2024,1,W128794,25/01/2024
100000412,2024,1,W128794,25/01/2024
100000413,2024,1,W128794,25/01/2024
100000414,2024,1,W128794,26/01/2024
100000415,2024,1,W128794,26/01/2024
100000416,2024,1,W128794,26/01/2024
100000417,2024,1,W128794,26/01/2024
100000418,2024,1,W128794,26/01/2024
100000419,2024,1,W128794,26/01/2024
100000420,2024,1,W128794,26/01/2024
100000421,2024,1,W128794,26/01/2024
100000427,2024,1,W111037,30/01/2024
100000430,2024,1,W128794,31/01/2024
100000431,2024,1,W128794,31/01/2024
100000446,2024,2,W128794,08/02/2024
100000447,2024,2,W128794,09/02/2024
100000458,2024,2,W128794,15/02/2024
100000459,2024,2,W122814,16/02/2024
100000460,2024,2,W122814,16/02/2024
100000464,2024,2,W122814,19/02/2024
100000466,2024,2,EXPLOIT$U,21/02/2024
100000467,2024,2,W128794,22/02/2024
100000468,2024,2,W128794,22/02/2024
100000469,2024,2,W128794,22/02/2024
100000470,2024,2,W128794,22/02/2024
100000471,2024,2,W111037,27/02/2024
100000472,2024,2,W128794,27/02/2024
100000473,2024,2,W128794,27/02/2024
100000474,2024,2,W128794,27/02/2024
100000475,2024,2,W128794,27/02/2024
100000477,2024,3,W122814,04/03/2024
100000478,2024,3,W122814,04/03/2024
100000479,2024,3,W106467,05/03/2024
100000490,2024,3,W106467,08/03/2024
100000493,2024,3,W122814,12/03/2024
100000494,2024,3,W122814,12/03/2024
100000496,2024,3,W128794,13/03/2024
100000501,2024,3,W111037,19/03/2024
100000502,2024,3,W128794,19/03/2024
100000510,2024,3,W111037,20/03/2024
100000511,2024,3,W122814,20/03/2024
100000512,2024,3,W122814,20/03/2024
100000513,2024,3,W128794,21/03/2024
100000514,2024,3,W106467,21/03/2024
100000515,2024,3,W106467,21/03/2024
100000516,2024,3,W106467,21/03/2024
100000518,2024,3,W106467,21/03/2024
100000519,2024,3,W106467,21/03/2024
100000520,2024,3,W128794,22/03/2024
100000521,2024,3,W128794,22/03/2024
100000522,2024,3,W128794,22/03/2024
100000523,2024,3,W128794,22/03/2024
100000524,2024,3,W128794,22/03/2024
100000525,2024,3,W128794,22/03/2024
100000526,2024,3,W128794,22/03/2024
100000528,2024,3,W128794,25/03/2024
100000529,2024,3,W128794,25/03/2024
100000530,2024,3,W128794,25/03/2024
100000531,2024,3,W128794,26/03/2024
100000534,2024,3,W128794,26/03/2024
100000535,2024,3,W128794,27/03/2024
100000536,2024,3,W106493,28/03/2024
100000537,2024,3,W111037,28/03/2024
100000543,2024,4,W128794,01/04/2024
100000544,2024,4,W122814,03/04/2024
100000552,2024,4,W128794,05/04/2024
100000565,2024,4,W122814,08/04/2024
100000566,2024,4,W128794,08/04/2024
100000567,2024,4,W128794,08/04/2024
100000569,2024,4,W122814,09/04/2024
100000570,2024,4,W128794,09/04/2024
100000571,2024,4,W122814,09/04/2024
100000577,2024,4,W128794,16/04/2024
100000581,2024,4,W122814,16/04/2024
100000585,2024,4,W128794,23/04/2024
100000586,2024,4,W128794,23/04/2024
100000587,2024,4,W128794,23/04/2024
100000588,2024,4,W128794,23/04/2024
100000589,2024,4,W128794,23/04/2024
100000590,2024,4,W128794,23/04/2024
100000591,2024,4,W128794,23/04/2024
100000592,2024,4,W128794,23/04/2024
100000593,2024,4,EXPLOIT$U,24/04/2024
100000595,2024,4,W106467,25/04/2024
100000596,2024,4,W128794,25/04/2024
