journal_entry_id,gl_account_number,amount,debit_amount,credit_amount
AC2400000,42300070,28.31,28.31,0.0
AC2400000,1120040,-28.31,0.0,28.31
AC2400001,42300070,27.65,27.65,0.0
AC2400001,1120040,-27.65,0.0,27.65
AC2400002,42300070,27.65,27.65,0.0
AC2400002,1120040,-27.65,0.0,27.65
AC2400003,42300070,22.42,22.42,0.0
AC2400003,1120040,-22.42,0.0,22.42
AC2400004,42300070,22.49,22.49,0.0
AC2400004,1120040,-22.49,0.0,22.49
AC2400005,42300070,22.82,22.82,0.0
AC2400005,1120040,-22.82,0.0,22.82
AC2400006,42300070,24.04,24.04,0.0
AC2400006,1120040,-24.04,0.0,24.04
AC2400007,42300070,20.22,20.22,0.0
AC2400007,1120040,-20.22,0.0,20.22
AC2400008,42300070,20.65,20.65,0.0
AC2400008,1120040,-20.65,0.0,20.65
AC2400009,42300070,38.0,38.0,0.0
AC2400009,1120040,-38.0,0.0,38.0
AC2400010,42300070,39.25,39.25,0.0
AC2400010,1120040,-39.25,0.0,39.25
AC2400011,42300070,23.75,23.75,0.0
AC2400011,1120040,-23.75,0.0,23.75
AC2400012,42300070,19.58,19.58,0.0
AC2400012,1120040,-19.58,0.0,19.58
AC2400013,42300070,23.75,23.75,0.0
AC2400013,1120040,-23.75,0.0,23.75
AC2400014,42300070,40.17,40.17,0.0
AC2400014,1120040,-40.17,0.0,40.17
AC2400015,42300070,35.92,35.92,0.0
AC2400015,1120040,-35.92,0.0,35.92
AC2400016,42300070,26.33,26.33,0.0
AC2400016,1120040,-26.33,0.0,26.33
AC2400017,42300070,23.18,23.18,0.0
AC2400017,1120040,-23.18,0.0,23.18
AC2400018,42300070,17.25,17.25,0.0
AC2400018,1120040,-17.25,0.0,17.25
AC2400019,42300070,24.28,24.28,0.0
AC2400019,1120040,-24.28,0.0,24.28
AC2400020,42300070,24.83,24.83,0.0
AC2400020,1120040,-24.83,0.0,24.83
AC2400021,42300070,19.11,19.11,0.0
AC2400021,1120040,-19.11,0.0,19.11
AC2400022,42300070,39.92,39.92,0.0
AC2400022,1120040,-39.92,0.0,39.92
AC2400023,42300070,15.77,15.77,0.0
AC2400023,1120040,-15.77,0.0,15.77
AC2400024,42300070,16.5,16.5,0.0
AC2400024,1120040,-16.5,0.0,16.5
AC2400025,42300070,19.7,19.7,0.0
AC2400025,1120040,-19.7,0.0,19.7
AC2400026,42300070,23.9,23.9,0.0
AC2400026,1120040,-23.9,0.0,23.9
AC2400027,42300070,25.2,25.2,0.0
AC2400027,1120040,-25.2,0.0,25.2
AC2400028,42300070,26.92,26.92,0.0
AC2400028,1120040,-26.92,0.0,26.92
AC2400029,42300070,9.95,9.95,0.0
AC2400029,1120040,-9.95,0.0,9.95
AC2400030,42300070,25.1,25.1,0.0
AC2400030,1120040,-25.1,0.0,25.1
AC2400031,42300070,15.89,15.89,0.0
AC2400031,1120040,-15.89,0.0,15.89
AC2400032,42300070,19.78,19.78,0.0
AC2400032,1120040,-19.78,0.0,19.78
AC2400033,42300070,35.92,35.92,0.0
AC2400033,1120040,-35.92,0.0,35.92
AC2400034,42300070,21.1,21.1,0.0
AC2400034,1120040,-21.1,0.0,21.1
AC2400035,42300070,16.03,16.03,0.0
AC2400035,1120040,-16.03,0.0,16.03
AC2400036,42300070,24.44,24.44,0.0
AC2400036,1120040,-24.44,0.0,24.44
AC2400037,42300070,21.92,21.92,0.0
AC2400037,1120040,-21.92,0.0,21.92
AC2400038,42300070,25.25,25.25,0.0
AC2400038,1120040,-25.25,0.0,25.25
AC2400039,42300070,523.62,523.62,0.0
AC2400039,1120050,-523.62,0.0,523.62
AC2400040,42300070,466.0,466.0,0.0
AC2400040,1120020,-466.0,0.0,466.0
AC2400041,42300070,57.28,57.28,0.0
AC2400041,1120050,-57.28,0.0,57.28
AC2400042,42300070,7.91,7.91,0.0
AC2400042,1120050,-7.91,0.0,7.91
AC2400043,42300070,4.62,4.62,0.0
AC2400043,1120020,-4.62,0.0,4.62
AC2400044,42300070,209.63,209.63,0.0
AC2400044,1120020,-209.63,0.0,209.63
AC2400045,42300070,1087.32,1087.32,0.0
AC2400045,1120020,-1087.32,0.0,1087.32
AC2400046,42300070,7.11,7.11,0.0
AC2400046,1120020,-7.11,0.0,7.11
AC2400047,42300070,897.96,897.96,0.0
AC2400047,1120130,-897.96,0.0,897.96
AC2400048,42300070,377.35,377.35,0.0
AC2400048,1120130,-377.35,0.0,377.35
AC2400049,42300070,402.5,402.5,0.0
AC2400049,1120130,-402.5,0.0,402.5
AC2400050,42300070,426.9,426.9,0.0
AC2400050,1120130,-426.9,0.0,426.9
AC2400051,42300070,139.82,139.82,0.0
AC2400051,1120130,-139.82,0.0,139.82
AC2400052,42300070,125.78,125.78,0.0
AC2400052,1120130,-125.78,0.0,125.78
AC2400053,42300070,299.32,299.32,0.0
AC2400053,1120130,-299.32,0.0,299.32
AC2400054,42300070,17.55,17.55,0.0
AC2400054,1120130,-17.55,0.0,17.55
AC2400055,42300070,80.75,80.75,0.0
AC2400055,1120130,-80.75,0.0,80.75
AC2400056,42300070,47.46,47.46,0.0
AC2400056,1120130,-47.46,0.0,47.46
AC2400057,42300070,18.83,18.83,0.0
AC2400057,1120130,-18.83,0.0,18.83
AC2400058,42300070,33.45,33.45,0.0
AC2400058,1120130,-33.45,0.0,33.45
AC2400059,42300070,11.08,11.08,0.0
AC2400059,1120130,-11.08,0.0,11.08
AC2400060,42300070,322.0,322.0,0.0
AC2400060,1120130,-322.0,0.0,322.0
AC2400061,42300070,40.25,40.25,0.0
AC2400061,1120130,-40.25,0.0,40.25
AC2400062,42300070,40.25,40.25,0.0
AC2400062,1120130,-40.25,0.0,40.25
AC2400063,42300070,17.96,17.96,0.0
AC2400063,1120130,-17.96,0.0,17.96
AC2400064,42300070,140.83,140.83,0.0
AC2400064,1120130,-140.83,0.0,140.83
AC2400065,42300070,0.92,0.92,0.0
AC2400065,1120130,-0.92,0.0,0.92
AC2400066,42300070,24.6,24.6,0.0
AC2400066,1120130,-24.6,0.0,24.6
AC2400067,42300070,13.71,13.71,0.0
AC2400067,1120130,-13.71,0.0,13.71
AC2400068,42300070,4.68,4.68,0.0
AC2400068,1120130,-4.68,0.0,4.68
AC2400069,42300070,7.29,7.29,0.0
AC2400069,1120130,-7.29,0.0,7.29
AC2400070,42300070,597.27,597.27,0.0
AC2400070,1120130,-597.27,0.0,597.27
AC2400071,42300070,18.75,18.75,0.0
AC2400071,1120130,-18.75,0.0,18.75
AC2400072,42300070,279.22,279.22,0.0
AC2400072,1120130,-279.22,0.0,279.22
AC2400073,42300070,47.98,47.98,0.0
AC2400073,1120130,-47.98,0.0,47.98
AC2400074,42300070,89.05,89.05,0.0
AC2400074,1120130,-89.05,0.0,89.05
AC2400075,42300070,7.17,7.17,0.0
AC2400075,1120130,-7.17,0.0,7.17
AC2400076,42300070,1.23,1.23,0.0
AC2400076,1120130,-1.23,0.0,1.23
AC2400077,42300070,-1.2,0.0,1.2
AC2400077,1120130,1.2,1.2,0.0
AC2400078,42300070,-1.2,0.0,1.2
AC2400078,1120130,1.2,1.2,0.0
AC2400079,42300070,16.42,16.42,0.0
AC2400079,1120040,-16.42,0.0,16.42
AC2400080,42300070,41.25,41.25,0.0
AC2400080,1120130,-41.25,0.0,41.25
AC2400081,42300070,17.98,17.98,0.0
AC2400081,1120040,-17.98,0.0,17.98
AC2400082,42300070,17.66,17.66,0.0
AC2400082,1120040,-17.66,0.0,17.66
AC2400083,42300070,24.83,24.83,0.0
AC2400083,1120040,-24.83,0.0,24.83
AC2400084,42300070,14.42,14.42,0.0
AC2400084,1120040,-14.42,0.0,14.42
AC2400085,42300070,19.58,19.58,0.0
AC2400085,1120040,-19.58,0.0,19.58
AC2400086,42300070,15.7,15.7,0.0
AC2400086,1120040,-15.7,0.0,15.7
AC2400087,42300070,15.76,15.76,0.0
AC2400087,1120130,-15.76,0.0,15.76
AC2400088,42300070,8.13,8.13,0.0
AC2400088,1120130,-8.13,0.0,8.13
AC2400089,42300070,87.8,87.8,0.0
AC2400089,1120130,-87.8,0.0,87.8
AC2400090,42300070,19.58,19.58,0.0
AC2400090,1120040,-19.58,0.0,19.58
AC2400091,42300070,42.0,42.0,0.0
AC2400091,1120040,-42.0,0.0,42.0
AC2400092,42300070,12.12,12.12,0.0
AC2400092,1120130,-12.12,0.0,12.12
AC2400093,42300070,66.07,66.07,0.0
AC2400093,1120130,-66.07,0.0,66.07
AC2400094,42300070,19.43,19.43,0.0
AC2400094,1120040,-19.43,0.0,19.43
AC2400095,42300070,24.6,24.6,0.0
AC2400095,1120040,-24.6,0.0,24.6
AC2400096,42300070,8.32,8.32,0.0
AC2400096,1120130,-8.32,0.0,8.32
AC2400097,42300070,59.69,59.69,0.0
AC2400097,1120130,-59.69,0.0,59.69
AC2400098,42300070,16.69,16.69,0.0
AC2400098,1120040,-16.69,0.0,16.69
AC2400099,42300070,17.02,17.02,0.0
